,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,1.FC Saarbrücken,Thomas Stratos,25.0,Defensive Midfield,Hamburger SV,€150Th.,in,Summer,0.15,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
2,1.FC Saarbrücken,Henning Bürger,22.0,Left Midfield,FC Schalke 04,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
8,1.FC Saarbrücken,Arno Glesius,26.0,Centre-Forward,Karlsruher SC,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
15,1.FC Saarbrücken,Michael Preetz,24.0,Centre-Forward,MSV Duisburg,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
30,SG Wattenscheid 09,Markus Schupp,26.0,Attacking Midfield,Bayern Munich,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
38,Bayer 05 Uerdingen,Dirk Bremser,26.0,Right Midfield,MSV Duisburg,€375Th.,in,Summer,0.375,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
49,SV Werder Bremen,Andreas Herzog,23.0,Attacking Midfield,Rapid Vienna,€1.50m,in,Summer,1.5,1 Bundesliga,1992,1992/1993,Germany,Bundesliga,Austria
50,SV Werder Bremen,Dietmar Beiersdorfer,28.0,Centre-Back,Hamburger SV,€1.00m,in,Summer,1.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
52,SV Werder Bremen,Oliver Freund,22.0,Left Midfield,Hannover 96,"End of loanJun 30, 1992",in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
53,SV Werder Bremen,Oliver Freund,22.0,Left Midfield,SC Freiburg,€650Th.,out,Summer,0.65,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
55,SV Werder Bremen,Marinus Bester,23.0,Centre-Forward,Hamburger SV,loan transfer,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
56,SV Werder Bremen,Jürgen Rollmann,25.0,Goalkeeper,MSV Duisburg,?,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
67,VfB Stuttgart,André Golke,27.0,Attacking Midfield,1.FC Nuremberg,€1.25m,in,Summer,1.25,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
68,VfB Stuttgart,Thomas Strunz,24.0,Defensive Midfield,Bayern Munich,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
69,VfB Stuttgart,Adrian Knup,23.0,Centre-Forward,FC Luzern,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Super League,Switzerland
72,VfB Stuttgart,Manfred Kastl,26.0,Centre-Forward,SSV Ulm 1846,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
74,VfB Stuttgart,Jürgen Kramny,20.0,Right Midfield,1.FC Nuremberg,loan transfer,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
78,Karlsruher SC,Manfred Bender,26.0,Attacking Midfield,Bayern Munich,€700Th.,in,Summer,0.7,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
79,Karlsruher SC,Sergey Kiryakov,22.0,Centre-Forward,Dinamo Moscow,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Premier Liga,Russia
84,Karlsruher SC,Mehmet Scholl,21.0,Attacking Midfield,Bayern Munich,€2.50m,out,Summer,2.5,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
85,Karlsruher SC,Oliver Westerbeek,26.0,Defensive Midfield,MSV Duisburg,?,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
88,Karlsruher SC,Michael Harforth,33.0,Attacking Midfield,MSV Duisburg,?,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
100,Hamburger SV,Markus Babbel,19.0,Centre-Back,Bayern Munich,loan transfer,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
108,Hamburger SV,Detlev Dammeier,23.0,Defensive Midfield,VfL Wolfsburg,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
111,Hamburger SV,Holger Ballwanz,24.0,Defensive Midfield,VfL Wolfsburg,?,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
119,FC Schalke 04,Gerald Hillringhaus,30.0,Goalkeeper,Bayern Munich,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
132,Bayern Munich,Mehmet Scholl,21.0,Attacking Midfield,Karlsruher SC,€2.50m,in,Summer,2.5,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
135,Bayern Munich,Dieter Frey,19.0,Right-Back,FC Augsburg,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
139,Bayern Munich,Manfred Bender,26.0,Attacking Midfield,Karlsruher SC,€700Th.,out,Summer,0.7,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
140,Bayern Munich,Thomas Strunz,24.0,Defensive Midfield,VfB Stuttgart,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
141,Bayern Munich,Gerald Hillringhaus,30.0,Goalkeeper,FC Schalke 04,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
142,Bayern Munich,Markus Babbel,19.0,Centre-Back,Hamburger SV,loan transfer,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
156,Borussia Mönchengladbach,Peter Nielsen,24.0,Attacking Midfield,Lyngby BK,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Superligaen,Denmark
158,Borussia Mönchengladbach,Johnny Mölby,23.0,Central Midfield,FC Nantes,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Ligue 1,France
166,Borussia Dortmund,Christof Osigus,19.0,Goalkeeper,FC Schalke 04,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
167,Borussia Dortmund,Stefan Thiele,18.0,attack,FC Schalke 04,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
168,Borussia Dortmund,Thomas Helmer,27.0,Centre-Back,Bayern Munich,€3.75m,out,Summer,3.75,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
180,Bayer 04 Leverkusen,Jorginho,27.0,Right-Back,Bayern Munich,€2.80m,out,Summer,2.8,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
181,Bayer 04 Leverkusen,Marcus Feinbier,22.0,Centre-Forward,Hertha BSC,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
184,Bayer 04 Leverkusen,Erich Seckler,28.0,Centre-Back,Hertha BSC,?,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
188,1.FC Nuremberg,Jürgen Kramny,20.0,Right Midfield,VfB Stuttgart,loan transfer,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
190,1.FC Nuremberg,Sergio Bustos,19.0,Attacking Midfield,Racing Club,?,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Superliga,Argentina
196,1.FC Nuremberg,André Golke,27.0,Attacking Midfield,VfB Stuttgart,€1.25m,out,Summer,1.25,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
200,1.FC Nuremberg,Joachim Philipkowski,31.0,Sweeper,FC St. Pauli,€128Th.,out,Summer,0.128,1 Bundesliga,1992,1992/1993,Germany,1 Bundesliga,Germany
201,1.FC Nuremberg,Günter Drews,24.0,midfield,AC Bellinzona,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,Super League,Switzerland
206,1. FC Köln,Kim Christofte,31.0,Left-Back,Bröndby IF,€135Th.,in,Summer,0.135,1 Bundesliga,1992,1992/1993,Germany,Superligaen,Denmark
