,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Örgryte IS,Jeffrey Aubynn,24.0,Central Midfield,Halmstads BK,free transfer,in,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
2,Örgryte IS,Erik Johansson,25.0,Left Midfield,Malmö FF,free transfer,out,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
5,Malmö FF,Niklas Skoog,27.0,Centre-Forward,Örebro SK,free transfer,in,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
12,Malmö FF,Gudmundur Vidar Mete,20.0,Centre-Back,FC Midtjylland,loan transfer,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Superligaen,Denmark
16,Djurgårdens IF,Joel Riddez,21.0,Left-Back,Assyriska FF,loan transfer,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
19,Örebro SK,Niklas Skoog,27.0,Centre-Forward,Malmö FF,free transfer,out,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
21,IFK Göteborg,Hakan Mild,30.0,Central Midfield,Wimbledon FC,?,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Premier League,England
24,Helsingborgs IF,Erik Wahlstedt,25.0,Right-Back,Esbjerg fB,free transfer,out,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Superligaen,Denmark
26,IF Elfsborg,Jurica Siljanoski,27.0,Attack,Cercle Brugge,free transfer,in,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Juliper Pro League,Belgium
32,IF Elfsborg,Kjetil Pedersen,28.0,Centre-Back,LASK,?,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Bundesliga,Austria
33,Hammarby IF,Ermin Siljak,28.0,Centre-Forward,Servette FC,free transfer,in,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Super League,Switzerland
34,Hammarby IF,Pablo Pinones-Arce,19.0,Centre-Forward,AC Venezia 1907,?,in,Summer,,Allsvenskan,2001,2001/2002,Sweden,Serie A,Italy
39,AIK Solna,Per Nilsson,18.0,Centre-Back,GIF Sundsvall,free transfer,in,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
40,AIK Solna,Mats Rubarth,24.0,Left Winger,Örebro SK,?,in,Summer,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
42,AIK Solna,Sharbel Touma,22.0,Attacking Midfield,Halmstads BK,?,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
51,IFK Norrköping,Klebér Saarenpää,25.0,Centre-Back,Aalborg BK,free transfer,out,Summer,0.0,Allsvenskan,2001,2001/2002,Sweden,Superligaen,Denmark
53,IFK Norrköping,Mathias Florén,24.0,Left-Back,FC Groningen,?,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Eredivisie,Netherlands
54,IFK Norrköping,Mattias Östberg,23.0,Centre-Back,Stoke City,?,out,Summer,,Allsvenskan,2001,2001/2002,Sweden,Premier League,England
55,Örgryte IS,Mike Owusu,25.0,Right-Back,NEC Nijmegen,free transfer,out,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Eredivisie,Netherlands
61,Malmö FF,Andreas Yngvesson,27.0,Centre-Forward,GIF Sundsvall,?,in,Winter,,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
63,Malmö FF,Jeppe Vestergaard,25.0,Left-Back,Silkeborg IF,?,in,Winter,,Allsvenskan,2001,2001/2002,Sweden,Superligaen,Denmark
66,Malmö FF,Gudmundur Vidar Mete,20.0,Centre-Back,FC Midtjylland,"End of loanDec 31, 2001",in,Winter,,Allsvenskan,2001,2001/2002,Sweden,Superligaen,Denmark
68,Malmö FF,Tony Flygare,20.0,Centre-Forward,Assyriska FF,free transfer,out,Winter,0.0,Allsvenskan,2001,2001/2002,Sweden,Allsvenskan,Sweden
