,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Austria Vienna,Walter Kogler,24.0,Centre-Back,SK Sturm Graz,€200k,in,Summer,0.2,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
5,Austria Vienna,Hannes Pleva,25.0,Attack,VSE St. Pölten,"End of loanJun 30, 1992",in,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
7,Austria Vienna,Walter Hörmann,30.0,Midfield,SK Sturm Graz,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
8,Austria Vienna,Hannes Pleva,25.0,Attack,Wiener Sport-Club,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
9,Austria Vienna,Harald Schneider,26.0,Defence,FC Tirol Innsbruck,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
11,Austria Vienna,Manfred Kern,28.0,Midfield,FC Stahl Linz,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
12,Austria Vienna,Laszlo Teke,20.0,Midfield,Wiener Sport-Club,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
13,Austria Vienna,Andreas Ogris,27.0,Right Winger,LASK,loan transfer,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
15,SK Sturm Graz,Roland Goriupp,21.0,Goalkeeper,Grazer AK,free transfer,in,Summer,0.0,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
21,SK Sturm Graz,Klaus Spirk,31.0,Midfield,Wiener Sport-Club,?,in,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
23,SK Sturm Graz,Walter Hörmann,30.0,Midfield,Austria Vienna,?,in,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
24,SK Sturm Graz,Rupert Marko,28.0,Attack,FC Tirol Innsbruck,?,in,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
27,SK Sturm Graz,Walter Kogler,24.0,Centre-Back,Austria Vienna,€200k,out,Summer,0.2,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
28,SK Sturm Graz,Andreas Lang,22.0,Midfield,SV Kapfenberg,?,out,Summer,,Bundesliga,1992,1992/1993,Austria,Bundesliga,Austria
