,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
15,Guarani Futebol Clube (SP),Marcelo Miguel Pelissari,19.0,Defence,Shimizu S-Pulse,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
20,Sociedade Esportiva Palmeiras,Müller,29.0,Second Striker,Kashiwa Reysol,?,in,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
32,Clube Atlético Mineiro,Reinaldo,19.0,Centre-Forward,RSC Anderlecht,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Juliper Pro League,Belgium
33,Clube Atlético Mineiro,Valdir Benedito,29.0,Midfield,Kashiwa Reysol,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
64,São Paulo Futebol Clube,Guilherme Alves,21.0,Centre-Forward,Rayo Vallecano,€1.20m,out,Summer,1.2,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Primera Division,Spain
70,São Paulo Futebol Clube,Bentinho,23.0,Centre-Forward,Kashiwa Reysol,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
77,CR Flamengo,Ronaldao,30.0,Centre-Back,Shimizu S-Pulse,?,in,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
92,CR Flamengo,Mazinho,29.0,Centre-Forward,Kashima Antlers,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
99,Paraná Clube,Mirandinha,24.0,Left Winger,FC Sion,?,out,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Super League,Switzerland
101,Botafogo de Futebol e Regatas,Guga,31.0,Attack,Santos FC,?,in,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Campeonato Brasileiro Serie A,Brazil
120,Esporte Clube Juventude,Cafu,25.0,Right-Back,Real Zaragoza,€2.00m,in,Summer,2.0,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Primera Division,Spain
140,Fluminense Football Club,Vampeta,21.0,Central Midfield,PSV Eindhoven,loan transfer,in,Summer,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Eredivisie,Netherlands
167,Guarani Futebol Clube (SP),Anderson Lima,22.0,Right-Back,Santos FC,?,out,Winter,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Campeonato Brasileiro Serie A,Brazil
176,Sociedade Esportiva Palmeiras,Reinaldo,19.0,Centre-Forward,RSC Anderlecht,?,in,Winter,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Juliper Pro League,Belgium
179,Sociedade Esportiva Palmeiras,Antônio Carlos Zago,26.0,Centre-Back,Kashiwa Reysol,€1.10m,out,Winter,1.1,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
181,Sociedade Esportiva Palmeiras,Edílson,24.0,Centre-Forward,Kashiwa Reysol,free transfer,out,Winter,0.0,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,J1 League,Japan
207,Grêmio Foot-Ball Porto Alegrense,Mauro Galvão,34.0,Sweeper,FC Lugano,?,in,Winter,,Campeonato Brasileiro Serie A,1995,1995/1996,Brazil,Super League,Switzerland
