,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
8,Leicester City,Dion Dublin,35.0,Centre-Forward,Aston Villa,free transfer,in,Summer,0.0,Championship,2004,2004/2005,England,Premier League,England
39,Leicester City,Stefan Moore,21.0,Centre-Forward,Aston Villa,"End of loanMay 11, 2005",out,Summer,,Championship,2004,2004/2005,England,Premier League,England
56,Leeds United,Serge Branco,23.0,Right-Back,VfB Stuttgart,free transfer,in,Summer,0.0,Championship,2004,2004/2005,England,1 Bundesliga,Germany
61,Leeds United,Simon Johnson,22.0,Centre-Forward,Barnsley FC,"End of loanMay 1, 2005",in,Summer,,Championship,2004,2004/2005,England,Premier League,England
63,Leeds United,Michael Ricketts,26.0,Centre-Forward,Stoke City,"End of loanMay 1, 2005",in,Summer,,Championship,2004,2004/2005,England,Premier League,England
73,Leeds United,Stephen McPhail,24.0,Left Midfield,Barnsley FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Premier League,England
74,Leeds United,Nick Barmby,30.0,Left Midfield,Hull City,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Premier League,England
85,Leeds United,Michael Duberry,29.0,Centre-Back,Stoke City,loan transfer,out,Summer,,Championship,2004,2004/2005,England,Premier League,England
88,Leeds United,Jamie McMaster,21.0,Central Midfield,Swindon Town,loan transfer,out,Summer,,Championship,2004,2004/2005,England,Premier League,England
95,Wolverhampton Wanderers,Ki-hyeon Seol,25.0,Right Winger,RSC Anderlecht,€1.80m,in,Summer,1.8,Championship,2004,2004/2005,England,Juliper Pro League,Belgium
96,Wolverhampton Wanderers,Rob Edwards,21.0,Centre-Back,Aston Villa,€225Th.,in,Summer,0.225,Championship,2004,2004/2005,England,Premier League,England
132,Sunderland AFC,Nicolás Medina,22.0,Defensive Midfield,CD Leganés,"End of loanJun 30, 2004",in,Summer,,Championship,2004,2004/2005,England,Primera Division,Spain
134,Sunderland AFC,Darren Byfield,27.0,Centre-Forward,Gillingham FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Championship,England
162,West Ham United,Darren Blewitt,19.0,defence,Southend United,"End of loanMay 8, 2005",in,Summer,,Championship,2004,2004/2005,England,Championship,England
170,West Ham United,David Forde,24.0,Goalkeeper,Oldham Athletic,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Premier League,England
174,West Ham United,Rob Lee,38.0,Central Midfield,Oldham Athletic,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Premier League,England
177,West Ham United,Adam Nowland,23.0,Attacking Midfield,Gillingham FC,loan transfer,out,Summer,,Championship,2004,2004/2005,England,Championship,England
193,Ipswich Town,Sam Morrow,19.0,Centre-Forward,Hibernian FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Scottish Premiership,Scotland
203,Wigan Athletic,David Wright,24.0,Defensive Midfield,Crewe Alexandra,€750Th.,in,Summer,0.75,Championship,2004,2004/2005,England,Championship,England
211,Wigan Athletic,Paul Mitchell,23.0,Central Midfield,Swindon Town,"End of loanOct 1, 2004",in,Summer,,Championship,2004,2004/2005,England,Premier League,England
224,Wigan Athletic,Paul Mitchell,23.0,Central Midfield,Swindon Town,loan transfer,out,Summer,,Championship,2004,2004/2005,England,Premier League,England
238,Sheffield United,Tommy Black,24.0,Right Midfield,Crystal Palace,loan transfer,in,Summer,,Championship,2004,2004/2005,England,Premier League,England
259,Sheffield United,Tommy Black,24.0,Right Midfield,Crystal Palace,"End of loanOct 1, 2004",out,Summer,,Championship,2004,2004/2005,England,Premier League,England
261,Reading FC,Bobby Convey,21.0,Left Midfield,D.C. United,€1.20m,in,Summer,1.2,Championship,2004,2004/2005,England,Major League Soccer,United States of America
270,Reading FC,Kelvin Jack,28.0,Goalkeeper,Dundee FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Scottish Premiership,Scotland
272,Reading FC,Darius Henderson,22.0,Centre-Forward,Gillingham FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005,England,Championship,England
283,Millwall FC,Stefan Moore,20.0,Centre-Forward,Aston Villa,loan transfer,in,Summer,,Championship,2004,2004/2005,England,Premier League,England
