,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
17,Shenyang Liuyao,Evgeni Dolgov,24.0,Left-Back,Dinamo Moscow,?,in,Winter,,Chinese Super League,1993,1993/1994,China,Premier Liga,Russia
25,Dalian Wanda,Lin Ma,32.0,Attack,Liaoning FC,?,in,Winter,,Chinese Super League,1994,1994/1995,China,Chinese Super League,China
28,Guangdong Winnerway,Bing Li,25.0,Centre-Forward,Liaoning FC,?,in,Winter,,Chinese Super League,1994,1994/1995,China,Chinese Super League,China
43,Shanghai Shenhua,Clément Garcia,27.0,Attack,FC Gueugnon,?,in,Summer,,Chinese Super League,1995,1995/1996,China,Ligue 1,France
47,Shenzhen Jianlibao,Slobodan Marovic,30.0,Left-Back,Silkeborg IF,?,in,Summer,,Chinese Super League,1995,1995/1996,China,Superligaen,Denmark
58,Tianjin FC,Dmitry Gulenkov,27.0,Goalkeeper,Tom Tomsk,?,out,Winter,,Chinese Super League,1995,1995/1996,China,Premier Liga,Russia
65,Dalian Wanda,Stefan Lindqvist,30.0,Central Midfield,IFK Göteborg,?,out,Summer,,Chinese Super League,1996,1996/1997,China,Allsvenskan,Sweden
66,Shanghai Shenhua,Christian Perez,33.0,Attacking Midfield,Nîmes Olympique,free transfer,in,Summer,0.0,Chinese Super League,1996,1996/1997,China,Ligue 1,France
72,Dalian Wanda,Haidong Hao,26.0,Centre-Forward,August 1st,€280k,in,Winter,0.28,Chinese Super League,1996,1996/1997,China,Chinese Super League,China
73,Dalian Wanda,Stefan Lindqvist,29.0,Central Midfield,IFK Göteborg,?,in,Winter,,Chinese Super League,1996,1996/1997,China,Allsvenskan,Sweden
74,Dalian Wanda,Magnus Sköldmark,28.0,Right-Back,Örebro SK,?,in,Winter,,Chinese Super League,1996,1996/1997,China,Allsvenskan,Sweden
76,Dalian Wanda,Jens Fjellström,30.0,Left Midfield,Malmö FF,loan transfer,in,Winter,,Chinese Super League,1996,1996/1997,China,Allsvenskan,Sweden
79,Dalian Wanda,Per Blohm,29.0,Midfield,Viking FK,?,out,Winter,,Chinese Super League,1996,1996/1997,China,Eliteserien,Norway
95,Vanguard Huandao,Feng Jiang,26.0,Right-Back,Liaoning FC,?,in,Winter,,Chinese Super League,1996,1996/1997,China,Chinese Super League,China
101,Tianjin Lifei,Jinming Han,27.0,Midfield,Vanguard Huandao,?,out,Winter,,Chinese Super League,1996,1996/1997,China,Chinese Super League,China
103,Guangdong Winnerway,Mark Brennan,31.0,Central Midfield,Oldham Athletic,?,in,Winter,,Chinese Super League,1996,1996/1997,China,Premier League,England
114,Shanghai Shenhua,Valeriy Kleimenov,31.0,Goalkeeper,Dinamo Moscow,?,in,Summer,,Chinese Super League,1997,1997/1998,China,Premier Liga,Russia
120,Vanguard Huandao,Stefan Beneking,28.0,Goalkeeper,SC Freiburg,?,in,Summer,,Chinese Super League,1997,1997/1998,China,1 Bundesliga,Germany
128,Dalian Wanda,Hans Eklund,28.0,Centre-Forward,Östers IF,?,in,Winter,,Chinese Super League,1997,1997/1998,China,Allsvenskan,Sweden
129,Dalian Wanda,Niclas Nyhlén,31.0,Defensive Midfield,Halmstads BK,?,out,Winter,,Chinese Super League,1997,1997/1998,China,Allsvenskan,Sweden
144,Qingdao Etsong Hainiu,Yi Zhuang,24.0,Attack,Liaoning FC,?,in,Winter,,Chinese Super League,1997,1997/1998,China,Chinese Super League,China
153,Shenzhen Jianlibao,Bertin Tomou,19.0,Centre-Forward,Pohang Steelers,?,in,Winter,,Chinese Super League,1997,1997/1998,China,K League 1,South Korea
