,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
2,Lillestrøm SK,Kenneth Nysaether,22.0,Centre-Forward,Fortuna Sittard,?,out,Summer,,Eliteserien,1992,1992/1993,Norway,Eredivisie,Netherlands
4,Molde FK,Paul Moulden,24.0,Centre-Forward,Oldham Athletic,"End of loanJun 30, 1992",out,Summer,,Eliteserien,1992,1992/1993,Norway,Premier League,England
7,Tromsø IL,Morten Pedersen,20.0,Left-Back,Bröndby IF,?,in,Summer,,Eliteserien,1992,1992/1993,Norway,Superligaen,Denmark
10,Fyllingen Fotball,Henrik Jörgensen,27.0,Centre-Forward,Lyngby BK,?,out,Summer,,Eliteserien,1992,1992/1993,Norway,Superligaen,Denmark
27,Viking FK,Kaj Stefansen,24.0,Goalkeeper,Ikast FS,free transfer,in,Winter,0.0,Eliteserien,1992,1992/1993,Norway,Superligaen,Denmark
28,Viking FK,Björn Johansen,23.0,Central Midfield,Tromsø IL,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
29,Viking FK,Egil Ulfstein,21.0,Left-Back,IL Hödd,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
30,Viking FK,Geir Hasund,21.0,Attacking Midfield,IL Hödd,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
32,Viking FK,Leif Rune Salte,26.0,Defence,Bryne FK,?,out,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
33,Viking FK,Asle Andersen,20.0,Midfield,Bryne FK,?,out,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
34,Viking FK,Roger Nilsen,23.0,Centre-Back,1. FC Köln,loan transfer,out,Winter,,Eliteserien,1992,1992/1993,Norway,1 Bundesliga,Germany
37,IK Start,Tommy Svindal Larsen,19.0,Defensive Midfield,Odd Grenland,"End of loanDec 31, 1992",in,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
58,Molde FK,André Nevstad,20.0,Midfield,IL Hödd,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
65,SK Brann,Kaj Eskelinen,23.0,Centre-Forward,IFK Göteborg,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Allsvenskan,Sweden
66,SK Brann,Tore Pedersen,23.0,Centre-Back,IFK Göteborg,?,in,Winter,,Eliteserien,1992,1992/1993,Norway,Allsvenskan,Sweden
74,SK Brann,Joachim Björklund,21.0,Centre-Back,IFK Göteborg,?,out,Winter,,Eliteserien,1992,1992/1993,Norway,Allsvenskan,Sweden
75,SK Brann,Rune André Vindheim,20.0,Defence,Sogndal IL,?,out,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
78,Tromsø IL,Björn Johansen,23.0,Central Midfield,Viking FK,?,out,Winter,,Eliteserien,1992,1992/1993,Norway,Eliteserien,Norway
86,Vålerenga Fotball,Kenneth Nysaether,23.0,Centre-Forward,Fortuna Sittard,?,in,Summer,,Eliteserien,1993,1993/1994,Norway,Eredivisie,Netherlands
88,Rosenborg BK,Göran Sörloth,30.0,Centre-Forward,Bursaspor,?,out,Summer,,Eliteserien,1993,1993/1994,Norway,Super Lig,Turkey
91,Viking FK,Roger Nilsen,23.0,Centre-Back,1. FC Köln,"End of loanJun 30, 1993",in,Summer,,Eliteserien,1993,1993/1994,Norway,1 Bundesliga,Germany
95,Lillestrøm SK,Lars Bohinen,23.0,Central Midfield,BSC Young Boys,loan transfer,in,Summer,,Eliteserien,1993,1993/1994,Norway,Super League,Switzerland
96,Lillestrøm SK,Lars Bohinen,24.0,Central Midfield,BSC Young Boys,"End of loanOct 1, 1993",out,Summer,,Eliteserien,1993,1993/1994,Norway,Super League,Switzerland
97,SK Brann,Tore Pedersen,24.0,Centre-Back,Oldham Athletic,?,in,Summer,,Eliteserien,1993,1993/1994,Norway,Premier League,England
109,Rosenborg BK,Jörn Jamtfall,27.0,Goalkeeper,Strindheim IL,?,in,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
111,Rosenborg BK,Steinar Sörlie,18.0,Goalkeeper,Strindheim IL,?,in,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
116,Rosenborg BK,Rune Tangen,29.0,Centre-Back,Moss FK,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
117,Rosenborg BK,Tore André Dahlum,25.0,Centre-Forward,IK Start,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
128,Viking FK,Erik Pedersen,26.0,Left Midfield,Odd Grenland,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
136,IK Start,Per Egil Swift,21.0,Central Midfield,Tromsø IL,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
138,IK Start,Bard Borgersen,21.0,Centre-Back,Bryne FK,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
143,Lillestrøm SK,Gunnar Halle,28.0,Right-Back,Oldham Athletic,loan transfer,in,Winter,,Eliteserien,1993,1993/1994,Norway,Premier League,England
145,Lillestrøm SK,Stuart McManus,28.0,Attack,Moss FK,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
158,SK Brann,Per Edmund Mordt,28.0,Centre-Back,IFK Göteborg,?,in,Winter,,Eliteserien,1993,1993/1994,Norway,Allsvenskan,Sweden
163,SK Brann,Geir Hasund,22.0,Attacking Midfield,Viking FK,?,in,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
167,SK Brann,Tore Pedersen,24.0,Centre-Back,Oldham Athletic,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Premier League,England
170,Tromsø IL,Per Egil Swift,21.0,Central Midfield,IK Start,?,in,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
181,Hamarkameratene,Petter Belsvik,26.0,Centre-Forward,IK Start,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
183,Hamarkameratene,André Ulla,20.0,Goalkeeper,Sogndal IL,?,out,Winter,,Eliteserien,1993,1993/1994,Norway,Eliteserien,Norway
185,Rosenborg BK,Chad Deering,23.0,Defensive Midfield,FC Schalke 04,?,in,Summer,,Eliteserien,1994,1994/1995,Norway,1 Bundesliga,Germany
188,Viking FK,Göran Sörloth,32.0,Centre-Forward,Bursaspor,?,in,Summer,,Eliteserien,1994,1994/1995,Norway,Super Lig,Turkey
191,Lillestrøm SK,Mons Ivar Mjelde,26.0,Centre-Forward,Austria Vienna,?,out,Summer,,Eliteserien,1994,1994/1995,Norway,Bundesliga,Austria
194,Lillestrøm SK,Gunnar Halle,28.0,Right-Back,Oldham Athletic,"End of loanJun 30, 1994",out,Summer,,Eliteserien,1994,1994/1995,Norway,Premier League,England
213,Rosenborg BK,Jan Halvor Halvorsen,31.0,Centre-Back,Sogndal IL,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
216,Rosenborg BK,Öyvind Leonhardsen,24.0,Attacking Midfield,Wimbledon FC,€975k,out,Winter,0.975,Eliteserien,1994,1994/1995,Norway,Premier League,England
218,Rosenborg BK,Ronny Stöbakk,21.0,Midfield,Strindheim IL,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
220,Rosenborg BK,Kjell Kaasa,28.0,Right Winger,Stabæk Fotball,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
223,Viking FK,Erik Pedersen,27.0,Left Midfield,Odd Grenland,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
227,Viking FK,Björn Johansen,25.0,Central Midfield,Tromsø IL,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
229,Viking FK,Rune Stakkeland,21.0,Midfield,Bryne FK,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
231,IK Start,Vetle Stangeland-Jeffers,30.0,Left-Back,Lyngby BK,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Superligaen,Denmark
233,IK Start,Petter Belsvik,27.0,Centre-Forward,Aalborg BK,"End of loanDec 1, 1994",in,Winter,,Eliteserien,1994,1994/1995,Norway,Superligaen,Denmark
234,IK Start,Erik Mykland,23.0,Central Midfield,FC Utrecht,"End of loanFeb 28, 1995",in,Winter,,Eliteserien,1994,1994/1995,Norway,Eredivisie,Netherlands
235,IK Start,Tommy Svindal Larsen,21.0,Defensive Midfield,Stabæk Fotball,free transfer,out,Winter,0.0,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
237,IK Start,Petter Belsvik,27.0,Centre-Forward,Aalborg BK,loan transfer,out,Winter,,Eliteserien,1994,1994/1995,Norway,Superligaen,Denmark
238,IK Start,Erik Mykland,23.0,Central Midfield,FC Utrecht,loan transfer,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eredivisie,Netherlands
243,Kongsvinger IL,Christer Basma,22.0,Centre-Back,Stabæk Fotball,free transfer,out,Winter,0.0,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
247,Kongsvinger IL,Geir Bakke,25.0,Defence,Stabæk Fotball,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
256,Molde FK,Ole Björn Sundgot,22.0,Centre-Forward,Oldham Athletic,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Premier League,England
260,Molde FK,Are Lervik,22.0,Goalkeeper,Strindheim IL,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
262,Molde FK,André Nevstad,22.0,Midfield,IL Hödd,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
263,Molde FK,Sindre Eid,20.0,Defence,IL Hödd,,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
274,Stabæk Fotball,Tommy Svindal Larsen,21.0,Defensive Midfield,IK Start,free transfer,in,Winter,0.0,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
283,Tromsø IL,Tore André Flo,21.0,Centre-Forward,Sogndal IL,free transfer,in,Winter,0.0,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
284,Tromsø IL,Björn Johansen,25.0,Central Midfield,Viking FK,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
285,Tromsø IL,Torgeir Rugtvedt,22.0,Defence,Strindheim IL,?,out,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
290,Hamarkameratene,Clas André Guttulsrød,23.0,Goalkeeper,Moss FK,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
297,IL Hödd,Trond Helgesen,27.0,Defence,Sogndal IL,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
300,Strindheim IL,Torgeir Rugtvedt,22.0,Defence,Tromsø IL,?,in,Winter,,Eliteserien,1994,1994/1995,Norway,Eliteserien,Norway
303,Viking FK,Paul Kane,30.0,Central Midfield,Aberdeen FC,?,in,Summer,,Eliteserien,1995,1995/1996,Norway,Scottish Premiership,Scotland
310,SK Brann,Mons Ivar Mjelde,28.0,Centre-Forward,Austria Vienna,free transfer,in,Summer,0.0,Eliteserien,1995,1995/1996,Norway,Bundesliga,Austria
313,SK Brann,Tore Pedersen,25.0,Centre-Back,FC St. Pauli,?,out,Summer,,Eliteserien,1995,1995/1996,Norway,1 Bundesliga,Germany
315,Stabæk Fotball,Andreas Mayer,22.0,Central Midfield,FC St. Pauli,free transfer,in,Summer,0.0,Eliteserien,1995,1995/1996,Norway,1 Bundesliga,Germany
317,Tromsø IL,Ole Martin Arst,20.0,Centre-Forward,Sogndal IL,loan transfer,out,Summer,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
321,Vålerenga Fotball,Joachim Walltin,21.0,Defensive Midfield,Strindheim IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
324,Rosenborg BK,Karl Oskar Fjörtoft,20.0,Central Midfield,IL Hödd,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
327,Rosenborg BK,Kristian Sörli,19.0,Right-Back,Strindheim IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
329,Rosenborg BK,Steinar Sörlie,20.0,Goalkeeper,Strindheim IL,loan transfer,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
337,Viking FK,Rune Medalen,25.0,Attack,Sogndal IL,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
343,IK Start,Petter Belsvik,28.0,Centre-Forward,Southend United,"End of loanDec 1, 1995",in,Winter,,Eliteserien,1995,1995/1996,Norway,Championship,England
