,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
4,Fortuna Sittard,Marco Boogers,25.0,Centre-Forward,RKC Waalwijk,?,out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
5,Fortuna Sittard,Roger Reijners,28.0,Left Midfield,MVV Maastricht,?,out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
11,Dordrecht'90,Michel Langerak,23.0,Attacking Midfield,VVV-Venlo,?,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
22,Dordrecht'90,Erik Willaarts,30.0,Centre-Forward,Go Ahead Eagles,?,out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
25,Go Ahead Eagles,Jan Michels,21.0,Central Midfield,FC Zwolle,free transfer,in,Summer,0.0,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
28,Go Ahead Eagles,Erik Willaarts,30.0,Centre-Forward,Dordrecht'90,?,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
30,Go Ahead Eagles,Niels Gerestein,20.0,midfield,VVV-Venlo,,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
39,FC Volendam,Elroy Kromheer,22.0,Sweeper,Motherwell FC,?,out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Scottish Premiership,Scotland
48,Ajax Amsterdam,Michael Reiziger,19.0,Right-Back,FC Volendam,loan transfer,out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
51,Vitesse Arnhem,Erwin van de Looi,20.0,Centre-Back,FC Den Bosch,?,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
52,Vitesse Arnhem,Hans Gillhaus,28.0,Centre-Forward,Aberdeen FC,?,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Scottish Premiership,Scotland
57,Sparta Rotterdam,Tom Van Mol,19.0,Left-Back,PSV Eindhoven,loan transfer,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
58,Sparta Rotterdam,Arno Doomernik,21.0,Defensive Midfield,PSV Eindhoven,loan transfer,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
62,Sparta Rotterdam,Ernest Faber,20.0,Centre-Back,PSV Eindhoven,"End of loanJun 30, 1992",out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
63,Sparta Rotterdam,Mitchell van der Gaag,20.0,Centre-Back,PSV Eindhoven,"End of loanJun 1, 1992",out,Summer,,Eredivisie,1992,1992/1993,Netherlands,Eredivisie,Netherlands
65,FC Den Bosch,Zeljko Petrovic,26.0,Right-Back,Sevilla FC,?,in,Summer,,Eredivisie,1992,1992/1993,Netherlands,Primera Division,Spain
