,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
1,Gamba Osaka,Masahiro Wada,30.0,Left-Back,Vissel Kobe,?,out,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
4,Sanfrecce Hiroshima,Tomohiro Katanosaka,24.0,Left-Back,Kashiwa Reysol,?,out,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
9,Yokohama Flügels (-1998),Masahiko Nakagawa,25.0,Goalkeeper,Yokohama Marinos,?,out,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
12,Júbilo Iwata,Dunga,31.0,Defensive Midfield,VfB Stuttgart,?,in,Summer,,J1 League,1995,1995/1996,Japan,1 Bundesliga,Germany
14,Kashima Antlers,Ryuzo Morioka,19.0,Centre-Back,Shimizu S-Pulse,free transfer,out,Summer,0.0,J1 League,1995,1995/1996,Japan,J1 League,Japan
15,Kashima Antlers,Santos,34.0,Right Midfield,Shimizu S-Pulse,?,out,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
16,Shimizu S-Pulse,Ryuzo Morioka,19.0,Centre-Back,Kashima Antlers,free transfer,in,Summer,0.0,J1 League,1995,1995/1996,Japan,J1 League,Japan
18,Shimizu S-Pulse,Santos,34.0,Right Midfield,Kashima Antlers,?,in,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
21,Shimizu S-Pulse,Akihiro Nagashima,31.0,Centre-Forward,Vissel Kobe,?,out,Summer,,J1 League,1995,1995/1996,Japan,J1 League,Japan
27,Cerezo Osaka,Akinori Nishizawa,19.0,Centre-Forward,FC Volendam,loan transfer,out,Summer,,J1 League,1995,1995/1996,Japan,Eredivisie,Netherlands
40,Gamba Osaka,Takeshi Yonezawa,26.0,Defence,Júbilo Iwata,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
69,Nagoya Grampus,Naoki Mori,23.0,Defence,Vissel Kobe,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
72,Nagoya Grampus,Makoto Yonekura,25.0,Attacking Midfield,Cerezo Osaka,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
80,Sanfrecce Hiroshima,Yasuhiro Yoshida,26.0,Defensive Midfield,Shimizu S-Pulse,free transfer,in,Winter,0.0,J1 League,1995,1995/1996,Japan,J1 League,Japan
83,Sanfrecce Hiroshima,Naoki Naito,27.0,Centre-Back,Shimizu S-Pulse,?,in,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
101,Urawa Red Diamonds,Gwi-jae Jo,26.0,Centre-Back,Vissel Kobe,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
104,Urawa Red Diamonds,Shinichi Kawano,26.0,Attack,Vissel Kobe,?,out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
110,Urawa Red Diamonds,Toninho,30.0,Attack,Shimizu S-Pulse,"End of loanDec 1, 1995",out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
111,Urawa Red Diamonds,Shiro Kikuhara,26.0,Midfield,Verdy Kawasaki,"End of loanJan 1, 1996",out,Winter,,J1 League,1995,1995/1996,Japan,J1 League,Japan
