,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,RSC Anderlecht,Philippe Albert,24.0,Centre-Back,KV Mechelen,free transfer,in,Summer,0.0,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
1,RSC Anderlecht,Marc Emmers,26.0,Right Midfield,KV Mechelen,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
2,RSC Anderlecht,Peter van Vossen,24.0,Left Winger,KSK Beveren (- 2010),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
3,RSC Anderlecht,Guy Marchoul,26.0,Right-Back,Lierse SK (- 2018),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
4,RSC Anderlecht,Philip Osondu,20.0,Midfield,RWD Molenbeek (- 2002),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
6,RSC Anderlecht,Luis Oliveira,23.0,Centre-Forward,Cagliari Calcio,€3.00m,out,Summer,3.0,Juliper Pro League,1992,1992/1993,Belgium,Serie A,Italy
7,RSC Anderlecht,Gert Verheyen,21.0,Right Winger,Club Brugge KV,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
8,RSC Anderlecht,Benjamin Debusschere,23.0,Left-Back,RFC Seraing (- 1996),?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
10,Standard Liège,Raphaël Quaranta,34.0,Midfield,Royal Antwerp FC,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
11,Standard Liège,Patrick Vervoort,27.0,Left Midfield,Ascoli Calcio 1898,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Serie A,Italy
12,Standard Liège,Aleksandr Rychkov,17.0,Attacking Midfield,Lokomotiv Moscow,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Premier Liga,Russia
13,Standard Liège,Benoît Thans,27.0,Attacking Midfield,Royal Antwerp FC,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
14,Standard Liège,Jacky Munaron,35.0,Goalkeeper,RC Liège,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
16,Standard Liège,Miklos Molnar,22.0,Centre-Forward,Servette FC,"End of loanJun 30, 1992",in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Super League,Switzerland
17,Standard Liège,Rubenilson,19.0,Attacking Midfield,RWD Molenbeek (- 2002),free transfer,out,Summer,0.0,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
18,Standard Liège,Miklos Molnar,22.0,Centre-Forward,AS Saint-Étienne,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Ligue 1,France
19,Standard Liège,Steve Snow,21.0,Centre-Forward,Boom FC,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
20,Standard Liège,Dirk Rosez,31.0,Goalkeeper,RWD Molenbeek (- 2002),?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
21,Standard Liège,Ljubomir Radanovic,31.0,Centre-Back,AC Bellinzona,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Super League,Switzerland
22,Standard Liège,Bernard Beuken,21.0,Centre-Back,Club Brugge KV,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
23,Standard Liège,Étienne Delangre,29.0,Defence,RWD Molenbeek (- 2002),?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
24,Standard Liège,Stalin Rivas,20.0,Attacking Midfield,Boom FC,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
25,Standard Liège,Didier Ernst,20.0,Right-Back,Boom FC,loan transfer,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
26,Standard Liège,Danny Muller,22.0,Attacking Midfield,Boom FC,loan transfer,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
28,KV Mechelen,Glen De Boeck,20.0,Centre-Back,Boom FC,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
30,KV Mechelen,Ivan De Wilde,26.0,Goalkeeper,KV Kortrijk,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
31,KV Mechelen,Bart Mauroo,24.0,Defence,KSV Waregem (- 2001),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
32,KV Mechelen,Stan Van den Buijs,35.0,Defensive Midfield,RWD Molenbeek (- 2002),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
34,KV Mechelen,Alain Peetermans,24.0,Defence,Sint-Truidense VV,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
36,KV Mechelen,Philippe Albert,24.0,Centre-Back,RSC Anderlecht,free transfer,out,Summer,0.0,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
37,KV Mechelen,Marc Emmers,26.0,Right Midfield,RSC Anderlecht,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
38,KV Mechelen,Francis Severeyns,24.0,Centre-Forward,Royal Antwerp FC,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
39,KV Mechelen,Lei Clijsters,35.0,Centre-Back,RC Liège,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
40,KV Mechelen,Adrie Bogers,27.0,Left-Back,Willem II Tilburg,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Eredivisie,Netherlands
41,KV Mechelen,Kurt Moons,19.0,Midfield,Germinal Ekeren,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
44,KSV Waregem (- 2001),Aurelio Vidmar,25.0,Centre-Forward,KV Kortrijk,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
46,KSV Waregem (- 2001),Hendrie Krüzen,27.0,Left Winger,RC Liège,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
47,KSV Waregem (- 2001),Rudy Ducoulombier,27.0,Centre-Back,KV Kortrijk,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
48,KSV Waregem (- 2001),Chaves,20.0,Attack,RFC Seraing (- 1996),?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
49,KSV Waregem (- 2001),Dirk Van Der Beken,26.0,Left Midfield,KSC Eendracht Aalst,?,in,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Juliper Pro League,Belgium
50,KSV Waregem (- 2001),Richard Niederbacher,30.0,Centre-Forward,SK Vorwärts Steyr,?,out,Summer,,Juliper Pro League,1992,1992/1993,Belgium,Bundesliga,Austria
