,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Ilhwa Chunma FC,Mikhail Solovjev,23.0,Centre-Back,Torpedo Moskau,?,in,Summer,,K League 1,1992,1992/1993,South Korea,Premier Liga,Russia
2,LG Cheetahs,Arsenio Luzardo,32.0,Midfield,Recreativo Huelva,?,in,Summer,,K League 1,1992,1992/1993,South Korea,Primera Division,Spain
5,POSCO Atoms,Sang-hae Cha,26.0,Attack,Daewoo Royals,?,in,Summer,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
6,Daewoo Royals,Sang-hae Cha,26.0,Attack,POSCO Atoms,?,out,Summer,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
10,Ilhwa Chunma FC,Mikhail Solovjev,24.0,Centre-Back,Torpedo Moskau,?,out,Winter,,K League 1,1992,1992/1993,South Korea,Premier Liga,Russia
12,LG Cheetahs,Jung-hwa Kwon,24.0,Attack,Yukong Elephants,?,in,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
14,LG Cheetahs,Sang-kwang Cha,29.0,Goalkeeper,POSCO Atoms,draft,out,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
18,Ulsan Hyundai,Frank Lieberam,30.0,Sweeper,VfL Wolfsburg,?,out,Winter,,K League 1,1992,1992/1993,South Korea,1 Bundesliga,Germany
23,POSCO Atoms,Sang-kwang Cha,29.0,Goalkeeper,LG Cheetahs,draft,in,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
28,POSCO Atoms,Gi-dong Kim,20.0,Attacking Midfield,Yukong Elephants,?,out,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
30,POSCO Atoms,Ki-geun Lee,27.0,Attack,Daewoo Royals,?,out,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
33,Yukong Elephants,Gi-dong Kim,20.0,Attacking Midfield,POSCO Atoms,?,in,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
37,Yukong Elephants,Jung-hwa Kwon,24.0,Attack,LG Cheetahs,?,out,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
43,Daewoo Royals,Ki-geun Lee,27.0,Attack,POSCO Atoms,?,in,Winter,,K League 1,1992,1992/1993,South Korea,K League 1,South Korea
51,Ilhwa Chunma FC,Jong-boo Kim,28.0,Attack,Daewoo Royals,?,in,Summer,,K League 1,1993,1993/1994,South Korea,K League 1,South Korea
55,POSCO Atoms,Sergey Agashkov,30.0,Central Midfield,MKE Ankaragücü,?,out,Summer,,K League 1,1993,1993/1994,South Korea,Super Lig,Turkey
