,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
27,CD La Equidad Seguros SA,Ariel Carreño,30.0,Centre-Forward,Once Caldas,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
35,CD La Equidad Seguros SA,Alfredo Padilla,19.0,Left Winger,Junior FC,"End of loanJun 30, 2009",out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
51,CD Atlético Huila,Ervin Maturana,30.0,Left-Back,Once Caldas,free transfer,in,Summer,0.0,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
52,CD Atlético Huila,Jorge Díaz,32.0,Attack,Junior FC,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
53,CD Atlético Huila,Alfredo Padilla,19.0,Left Winger,Junior FC,loan transfer,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
62,CD Atlético Huila,Rubén Robledo,19.0,Attack,Once Caldas,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
65,Cúcuta Deportivo,Luis Yanes,26.0,Centre-Forward,LOSC Lille,free transfer,in,Summer,0.0,Liga Dimayor I,2009,2009/2010,Colombia,Ligue 1,France
73,Cúcuta Deportivo,Sebastián Ramírez,26.0,Midfield,Once Caldas,loan transfer,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
87,CD Real Cartagena,Armando Maldonado,23.0,Right-Back,Itagüí Ditaires,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
90,CD Real Cartagena,Hernando Patiño,36.0,Central Midfield,Junior FC,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
97,Junior FC,Jorge Casanova,32.0,Central Midfield,Once Caldas,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
109,Junior FC,Luis Yanes,26.0,Centre-Forward,LOSC Lille,"End of loanJun 30, 2009",out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Ligue 1,France
111,Independiente Santa Fe,Javier Arizala,26.0,Left-Back,Deportes Tolima,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
123,Millonarios FC,Ricardo Ciciliano,32.0,Attacking Midfield,Junior FC,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
127,Millonarios FC,Milton Rodríguez,33.0,Centre-Forward,Deportes Tolima,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
129,Millonarios FC,Johnatan Estrada,26.0,Attacking Midfield,Real Sociedad,loan transfer,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Primera Division,Spain
133,Independiente Medellín,Felipe Pardo,18.0,Right Winger,Deportivo Cali,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
136,Independiente Medellín,César Rivas,30.0,Left Winger,Deportes Tolima,loan transfer,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
143,Independiente Medellín,Diego Álvarez,27.0,Centre-Forward,Deportivo Cali,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
145,Independiente Medellín,Sebastián Botero,22.0,Midfield,Once Caldas,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
147,Independiente Medellín,Iván Corredor,26.0,Left Midfield,Deportes Tolima,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
149,Independiente Medellín,Jair Benítez,30.0,Left-Back,Deportivo Cali,"End of loanJun 30, 2009",out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
178,Deportivo Pereira,Andrés Arboleda,22.0,Defensive Midfield,Cortuluá,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
179,Deportivo Pereira,Jhon Jairo Castillo,25.0,Right Winger,Cortuluá,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
183,Atlético Nacional,Armando Carrillo,23.0,Right Winger,Deportivo Cali,?,in,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
191,Atlético Nacional,Luis Chará,28.0,Central Midfield,Deportivo Cali,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
192,Atlético Nacional,Róbinson Cañas,21.0,Midfield,Deportes Tolima,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
193,Atlético Nacional,Julián Díaz,20.0,Defence,Deportes Tolima,?,out,Summer,,Liga Dimayor I,2009,2009/2010,Colombia,Liga Dimayor I,Colombia
