,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Toros Neza FC,Rodrigo Ruiz,24.0,Second Striker,Puebla FC,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
2,Toros Neza FC,Carlos Germán Arangio,20.0,Centre-Forward,Racing Club,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Superliga,Argentina
7,Toros Neza FC,Martín Vilallonga,25.0,Attack,Racing Club,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Superliga,Argentina
9,CF Atlante,Martín Ubaldi,26.0,Midfield,Tigres UANL,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
18,CF Atlante,Tiba,25.0,Midfield,Atlético Celaya,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
23,CF Atlante,Francisco Cruz,30.0,Defensive Midfield,Tigres UANL,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
27,Puebla FC,Sergio Almaguer,27.0,Centre-Back,Tigres UANL,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
30,Puebla FC,Carlos Muñoz,34.0,Attack,Real Oviedo,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Primera Division,Spain
35,Puebla FC,Daniel Guzmán,31.0,Centre-Forward,San Jose Clash,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Major League Soccer,United States of America
42,Tiburones Rojos de Veracruz,Iván Valenciano,24.0,Centre-Forward,Junior FC,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Dimayor I,Colombia
48,Tiburones Rojos de Veracruz,Carlos Barra,27.0,Midfield,CD Cruz Azul,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
54,Tiburones Rojos de Veracruz,Isaac Ayipei,,Attack,Rubin Kazan,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Premier Liga,Russia
58,CD Cruz Azul,Jorge Santillana,27.0,Attack,UNAM Pumas,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
63,CD Cruz Azul,Luis Soto,25.0,Midfield,Atlético Celaya,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
68,CF América,Hugo Pineda,34.0,Goalkeeper,Atlético Celaya,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
72,CF América,Adrián Chávez,34.0,Goalkeeper,Atlético Celaya,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
76,CF América,Joaquín Hernández,25.0,Defence,Puebla FC,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
78,Club Necaxa,Mario Ordiales,28.0,Midfield,Santos Laguna,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
79,Club Necaxa,Juan Ramón Jara,25.0,Left-Back,CA Colon,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Superliga,Argentina
81,Club Necaxa,Roberto Ruiz Esparza,31.0,Defence,Tigres UANL,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
83,Club Necaxa,Uwe Wolf,28.0,Centre-Back,Puebla FC,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
109,CF Pachuca,Isidoro García,35.0,Attack,Puebla FC,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
116,Deportivo Guadalajara,Misael Espinosa,31.0,Midfield,San Jose Clash,"End of loanOct 25, 1996",in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Major League Soccer,United States of America
118,Deportivo Guadalajara,Daniel Guzmán,30.0,Centre-Forward,Puebla FC,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
120,Deportivo Guadalajara,Alberto García,31.0,Midfield,Santos Laguna,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
121,Deportivo Guadalajara,Carlos López,26.0,Defence,Atlético Celaya,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
126,UNAM Pumas,Jorge Santillana,27.0,Attack,CD Cruz Azul,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
133,Atlas Guadalajara,Jared Borgetti,22.0,Centre-Forward,Santos Laguna,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
139,Deportivo Toluca,Antonio Taboada,28.0,Midfield,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
142,Deportivo Toluca,Víctor Ruiz,27.0,Midfield,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
143,Deportivo Toluca,David Rangel,26.0,Midfield,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
147,Deportivo Toluca,Alberto Marizcal,32.0,Attack,Santos Laguna,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
149,Deportivo Toluca,Abdul Conteh,25.0,Attack,Tigres UANL,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
154,CF Monterrey,Miguel Ramírez,26.0,Centre-Back,Real Sociedad,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Primera Division,Spain
156,CF Monterrey,Octavio Mora,30.0,Attack,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
160,CF Monterrey,José Noriega,26.0,Midfield,CD Cruz Azul,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
161,CF Monterrey,Abraham Nava,32.0,Centre-Back,UNAM Pumas,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
167,Tecos de la UAG,Carlos Briones,27.0,Goalkeeper,CD Cruz Azul,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
170,Santos Laguna,Cristian Montecinos,25.0,Centre-Forward,Junior FC,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Dimayor I,Colombia
172,Santos Laguna,Antonio González,30.0,Defence,Atlético Celaya,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
178,Atlético Celaya,Michel,33.0,Right Midfield,Real Madrid,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Primera Division,Spain
179,Atlético Celaya,Luis Soto,25.0,Midfield,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
183,Atlético Celaya,Antonio González,30.0,Defence,Santos Laguna,?,out,Summer,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
187,Tiburones Rojos de Veracruz,Alexis Mendoza,35.0,Centre-Back,Junior FC,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Dimayor I,Colombia
191,Tiburones Rojos de Veracruz,Alberto Durán,31.0,Attack,Tigres UANL,?,out,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
193,Tiburones Rojos de Veracruz,Jorjão,26.0,Defence,Deportes Tolima,?,out,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Dimayor I,Colombia
206,Puebla FC,José Manuel de la Torre,31.0,Attacking Midfield,Tigres UANL,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
212,CD Cruz Azul,Youssouf Fofana,30.0,Left Winger,Al-Nassr FC,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Saudi Professional League,Saudi Arabia
213,CD Cruz Azul,José Herrera,31.0,Right-Back,Atalanta BC,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Serie A,Italy
221,CF América,Goran Milojevic,32.0,Midfield,CP Mérida,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Primera Division,Spain
226,CF América,Francisco Uribe,30.0,Attack,Tigres UANL,?,out,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Liga Mx Apertura,Mexico
228,CF América,Raúl Gordillo,22.0,Central Midfield,CA Colon,loan transfer,out,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Superliga,Argentina
236,Club León FC,Amara Simba,35.0,Centre-Forward,LOSC Lille,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Ligue 1,France
237,Club León FC,Cristian Colusso,19.0,Attack,Sevilla FC,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Primera Division,Spain
253,Club Atlético Morelia,Arnold Cruz,26.0,Defence,D.C. United,?,out,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Major League Soccer,United States of America
259,Deportivo Toluca,Édgar García de Dios,19.0,Attacking Midfield,FC Linz,?,in,Winter,,Liga Mx Apertura,1996,1996/1997,Mexico,Bundesliga,Austria
294,Atlético Celaya,José Hernández,28.0,Midfield,Puebla FC,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
296,Atlético Celaya,Amador Suárez,28.0,Midfield,CD Cruz Azul,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
304,Atlético Celaya,Rafa Paz,31.0,Right Midfield,Sevilla FC,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Primera Division,Spain
310,Atlético Celaya,Víctor Díaz Leal,28.0,Defence,CD Cruz Azul,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
317,Club León FC,Carlos López,27.0,Defence,Atlético Celaya,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
322,Club León FC,Alberto García,32.0,Midfield,Santos Laguna,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
327,Club León FC,Adrián Chávez,35.0,Goalkeeper,Atlético Celaya,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
334,Club León FC,Rodolfo Navarro,22.0,Midfield,Tigres UANL,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
346,Tiburones Rojos de Veracruz,Antonio González,31.0,Defence,Santos Laguna,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
349,Tiburones Rojos de Veracruz,Silvio Rudman,28.0,Centre-Forward,Columbus Crew,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Major League Soccer,United States of America
350,Tiburones Rojos de Veracruz,Francisco Uribe,31.0,Attack,Tigres UANL,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
359,Tiburones Rojos de Veracruz,Filiberto Fulgencio,24.0,Midfield,Atlético Celaya,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
361,Tiburones Rojos de Veracruz,Francisco Uribe,32.0,Attack,San Jose Clash,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Major League Soccer,United States of America
367,Tiburones Rojos de Veracruz,Alexis Mendoza,35.0,Centre-Back,Junior FC,-,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Dimayor I,Colombia
376,Puebla FC,Paquete Higuera,32.0,Second Striker,Real Zaragoza,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Primera Division,Spain
377,Puebla FC,Miguel Pardeza,32.0,Second Striker,Real Zaragoza,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Primera Division,Spain
379,Puebla FC,José Hernández,28.0,Midfield,Atlético Celaya,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
384,Puebla FC,Joaquín Velázquez,21.0,Centre-Back,Santos Laguna,?,out,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
389,CF Atlante,Gilberto Jiménez,24.0,Defence,Puebla FC,?,in,Summer,,Liga Mx Apertura,1997,1997/1998,Mexico,Liga Mx Apertura,Mexico
