,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,FC Porto,Zé da Rocha,24.0,Central Midfield,Gil Vicente FC,free transfer,in,Summer,0.0,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
1,FC Porto,Rui Jorge,19.0,Left-Back,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
2,FC Porto,Paulinho Santos,21.0,Defensive Midfield,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
3,FC Porto,Antônio Carlos,28.0,Central Midfield,CF América,?,in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Mx Apertura,Mexico
4,FC Porto,Paulinho McLaren,22.0,Centre-Forward,Santos FC,?,in,Summer,,Liga Nos,1992,1992/1993,Portugal,Campeonato Brasileiro Serie A,Brazil
5,FC Porto,Luís Miguel,19.0,Left Winger,Gil Vicente FC,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
6,FC Porto,Jorge Costa,20.0,Centre-Back,CS Marítimo,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
7,FC Porto,Jorge Silva,20.0,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
8,FC Porto,Bino,19.0,Central Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
9,FC Porto,António Folha,21.0,Left Winger,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
10,FC Porto,Paulo Pereira,26.0,Right-Back,Vitória Guimarães SC,?,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
11,FC Porto,Kiki,30.0,Attacking Midfield,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
12,FC Porto,Jorge Andrade,29.0,Second Striker,CS Marítimo,?,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
13,FC Porto,Carlos Padrão,32.0,Goalkeeper,FC Paços de Ferreira,?,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
14,FC Porto,Zé da Rocha,24.0,Central Midfield,Académica Coimbra,loan transfer,out,Summer,,Liga Nos,1992,1992/1993,Portugal,Liga Nos,Portugal
