,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
9,New England Revolution,John Kerr,31.0,Attack,Dallas Burn,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
10,New England Revolution,Victor Mella,21.0,Attack,San Jose Clash,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
11,New England Revolution,Giuseppe Galderisi,33.0,Second Striker,Tampa Bay Mutiny,?,out,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
12,New England Revolution,Zak Ibsen,24.0,Defence,Dallas Burn,?,out,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
15,Tampa Bay Mutiny,Giuseppe Galderisi,33.0,Second Striker,New England Revolution,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
17,Columbus Crew SC,Brian McBride,23.0,Centre-Forward,VfL Wolfsburg,free transfer,in,Summer,0.0,Major League Soccer,1995,1995/1996,United States of America,1 Bundesliga,Germany
18,Columbus Crew SC,Paul Caligiuri,32.0,Defensive Midfield,FC Hansa Rostock,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,1 Bundesliga,Germany
19,Columbus Crew SC,Pat Harrington,31.0,Goalkeeper,Kansas City Wiz,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
20,Columbus Crew SC,Ricardo Iribarren,28.0,Defence,Club Atlético Belgrano,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Superliga,Argentina
23,D.C. United,Johnny Maessner,26.0,Attack,1.FC Saarbrücken,?,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,1 Bundesliga,Germany
27,San Jose Clash,Misael Espinosa,31.0,Midfield,Deportivo Guadalajara,loan transfer,in,Summer,,Major League Soccer,1995,1995/1996,United States of America,Liga Mx Apertura,Mexico
29,San Jose Clash,Victor Mella,21.0,Attack,New England Revolution,?,out,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
31,Kansas City Wiz,Mo Johnston,33.0,Centre-Forward,Falkirk FC,free transfer,in,Summer,0.0,Major League Soccer,1995,1995/1996,United States of America,Scottish Premiership,Scotland
33,Kansas City Wiz,Pat Harrington,31.0,Goalkeeper,Columbus Crew SC,?,out,Summer,,Major League Soccer,1995,1995/1996,United States of America,Major League Soccer,United States of America
