,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
1,Spartak Moscow,Igor Ledyakhov,24.0,Central Midfield,Rotor Volgograd,free transfer,in,Summer,0.0,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
2,Spartak Moscow,Nikolay Pisarev,23.0,Centre-Forward,FC Winterthur,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Super League,Switzerland
5,Spartak Moscow,Yuri Petrov,18.0,Centre-Forward,Lokomotiv Moscow,"End of loanDec 31, 1992",in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
9,Spartak Moscow,Aleksandr Shibaev,30.0,Defence,Dinamo-Gazovik Tyumen,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
10,Spartak Moscow,Kakhaber Tskhadadze,23.0,Centre-Back,Dinamo Moscow,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
11,Spartak Moscow,Evgeni Bushmanov,20.0,Centre-Back,CSKA Moscow,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
12,Spartak Moscow,Velli Kasumov,23.0,Centre-Forward,Dinamo Moscow,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
13,Spartak Moscow,Rashid Rakhimov,27.0,Left Midfield,Real Valladolid Deportivo,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Primera Division,Spain
14,Spartak Moscow,Yuri Petrov,18.0,Centre-Forward,Lokomotiv Moscow,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
16,Spartak Moscow,Aleksandr Bondar,25.0,Defensive Midfield,Terek Grozny,"End of loanMay 1, 1993",out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
21,Rotor Volgograd,Aleksey Perminov,24.0,Left-Back,Uralmash Ekaterinburg,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
22,Rotor Volgograd,Igor Ledyakhov,24.0,Central Midfield,Spartak Moscow,free transfer,out,Summer,0.0,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
28,Dinamo Moscow,Velli Kasumov,23.0,Centre-Forward,Spartak Moscow,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
29,Dinamo Moscow,Kakhaber Tskhadadze,23.0,Centre-Back,Spartak Moscow,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
32,Dinamo Moscow,Andrey Kobelev,23.0,Central Midfield,Real Betis Balompié,€600k,out,Summer,0.6,Premier Liga,1992,1992/1993,Russia,Primera Division,Spain
33,Dinamo Moscow,Sergey Kiryakov,22.0,Centre-Forward,Karlsruher SC,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,1 Bundesliga,Germany
34,Dinamo Moscow,Oleg Yelyshev,21.0,Right Midfield,Tekstilshchik Kamyshin,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
35,Dinamo Moscow,Aleksey Yushkov,25.0,Centre-Back,Uralmash Ekaterinburg,?,out,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
42,Tekstilshchik Kamyshin,Oleg Yelyshev,21.0,Right Midfield,Dinamo Moscow,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
50,Lokomotiv Moscow,Yuri Petrov,18.0,Centre-Forward,Spartak Moscow,?,in,Summer,,Premier Liga,1992,1992/1993,Russia,Premier Liga,Russia
