,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Rangers FC,Michael Mols,28.0,Centre-Forward,FC Utrecht,€6.40m,in,Summer,6.4,Scottish Premiership,1999,1999/2000,Scotland,Eredivisie,Netherlands
1,Rangers FC,Claudio Reyna,25.0,Central Midfield,VfL Wolfsburg,€3.00m,in,Summer,3.0,Scottish Premiership,1999,1999/2000,Scotland,1 Bundesliga,Germany
2,Rangers FC,Craig Moore,23.0,Centre-Back,Crystal Palace,€1.20m,in,Summer,1.2,Scottish Premiership,1999,1999/2000,Scotland,Premier League,England
3,Rangers FC,Dariusz Adamczuk,29.0,Defensive Midfield,Dundee FC,free transfer,in,Summer,0.0,Scottish Premiership,1999,1999/2000,Scotland,Scottish Premiership,Scotland
7,Rangers FC,Stéphane Guivarc'h,28.0,Centre-Forward,AJ Auxerre,€3.85m,out,Summer,3.85,Scottish Premiership,1999,1999/2000,Scotland,Ligue 1,France
10,Rangers FC,Theo Snelders,35.0,Goalkeeper,MVV Maastricht,?,out,Summer,,Scottish Premiership,1999,1999/2000,Scotland,Eredivisie,Netherlands
28,Celtic FC,Jamie Smith,19.0,Right Winger,Livingston FC,"End of loanMay 8, 2000",in,Summer,,Scottish Premiership,1999,1999/2000,Scotland,Scottish Premiership,Scotland
43,Heart of Midlothian FC,Fabien Leclercq,26.0,Centre-Back,LOSC Lille,?,in,Summer,,Scottish Premiership,1999,1999/2000,Scotland,Ligue 1,France
85,St. Johnstone FC,Charlie King,19.0,Attacking Midfield,Livingston FC,?,out,Summer,,Scottish Premiership,1999,1999/2000,Scotland,Scottish Premiership,Scotland
86,St. Johnstone FC,Guy-Roger Nzamba,28.0,Centre-Forward,KV Kortrijk,?,out,Summer,,Scottish Premiership,1999,1999/2000,Scotland,Juliper Pro League,Belgium
116,Dundee FC,Frank van Eijs,27.0,Centre-Back,KV Mechelen,free transfer,in,Summer,0.0,Scottish Premiership,1999,1999/2000,Scotland,Juliper Pro League,Belgium
