,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,BSC Young Boys,Paul Agostino,17.0,Centre-Forward,Yverdon Sport FC,free transfer,in,Summer,0.0,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
1,BSC Young Boys,Piotr Nowak,27.0,Attacking Midfield,Bakirköyspor,free transfer,in,Summer,0.0,Super League,1992,1992/1993,Switzerland,Super Lig,Turkey
3,BSC Young Boys,Heinz Moser,24.0,Centre-Back,FC Luzern,?,in,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
6,BSC Young Boys,Patrick Rahmen,23.0,Attack,FC Basel 1893,?,out,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
7,BSC Young Boys,Michel Rubli,19.0,Attack,FC Schaffhausen,?,out,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
9,Servette FC,Sébastien Barberis,20.0,Right Midfield,FC Lausanne-Sport,free transfer,in,Summer,0.0,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
10,Servette FC,Sonny Anderson,21.0,Centre-Forward,Guarani Futebol Clube (SP),?,in,Summer,,Super League,1992,1992/1993,Switzerland,Campeonato Brasileiro Serie A,Brazil
11,Servette FC,Christophe Ohrel,24.0,Right Midfield,FC Lausanne-Sport,?,in,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
12,Servette FC,André Egli,34.0,Centre-Back,Neuchâtel Xamax,?,in,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
13,Servette FC,Renato Carioca,25.0,Midfield,Fluminense Football Club,?,in,Summer,,Super League,1992,1992/1993,Switzerland,Campeonato Brasileiro Serie A,Brazil
15,Servette FC,Xavier Dietlin,23.0,Attack,FC Sion,?,in,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
17,Servette FC,Heinz Hermann,34.0,Central Midfield,Grasshopper Club Zurich,?,out,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
18,Servette FC,Maurizio Jacobacci,29.0,Attack,FC St. Gallen 1879,?,out,Summer,,Super League,1992,1992/1993,Switzerland,Super League,Switzerland
20,Servette FC,Igor Dobrovolskiy,24.0,Attacking Midfield,Genoa 1893,"End of loanJun 30, 1992",out,Summer,,Super League,1992,1992/1993,Switzerland,Serie A,Italy
21,Servette FC,Miklos Molnar,22.0,Centre-Forward,Standard Liège,"End of loanJun 30, 1992",out,Summer,,Super League,1992,1992/1993,Switzerland,Juliper Pro League,Belgium
