,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Besiktas JK,Mitar Mrkela,26.0,Left Winger,Twente Enschede FC,€364k,in,Summer,0.364,Super Lig,1992,1992/1993,Turkey,Eredivisie,Netherlands
4,Besiktas JK,Ali Güncar,22.0,Centre-Back,Genclerbirligi Ankara,?,in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
5,Besiktas JK,Serdar Bayer,24.0,Right-Back,Caykur Rizespor,"End of loanJun 30, 1992",in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
7,Besiktas JK,Adam Zejer,28.0,Left Midfield,Gaziantepspor,?,out,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
8,Besiktas JK,Yilmaz Beyaz,21.0,Defence,Istanbulspor,loan transfer,out,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
9,Besiktas JK,Cemre Özbalkan,21.0,Midfield,Istanbulspor,loan transfer,out,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
11,Fenerbahce,Faruk Korkmaz,22.0,Centre-Forward,Aydinspor,free transfer,in,Summer,0.0,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
12,Fenerbahce,Mustafa Yücedag,26.0,Attacking Midfield,Galatasaray,free transfer,in,Summer,0.0,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
13,Fenerbahce,Altay Dagdelen,22.0,Goalkeeper,Altay SK,?,in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
14,Fenerbahce,Ilker Yagcioglu,26.0,Right-Back,Aydinspor,?,in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
15,Fenerbahce,Selahattin Gözoglu,20.0,Centre-Back,Galatasaray,?,in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
17,Fenerbahce,Can Okuyucu,24.0,Goalkeeper,Göztepe,?,in,Summer,,Super Lig,1992,1992/1993,Turkey,Super Lig,Turkey
