,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
4,Club Atlético Aldosivi,Darío Gandín,30.0,Centre-Forward,CA Colon,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
6,Club Atlético Aldosivi,Ismael Quílez,25.0,Right-Back,Racing Club,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
56,AA Argentinos Juniors,Raúl Becerra,26.0,Centre-Forward,CA Colon,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
64,AA Argentinos Juniors,José Luis Palomino,24.0,Centre-Back,FC Metz,?,out,Summer,,Superliga,2014,2014/2015,Argentina,Ligue 1,France
85,Arsenal Fútbol Club,Gustavo Cabral,28.0,Centre-Back,Celta de Vigo,"End of loanJun 30, 2014",in,Summer,,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
96,Arsenal Fútbol Club,Gustavo Cabral,28.0,Centre-Back,Celta de Vigo,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
98,Arsenal Fútbol Club,José Gabriel Ramírez,23.0,Left Midfield,Nueva Chicago,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
117,Atlético de Rafaela,Nicolás Royón,23.0,Centre-Forward,Liverpool FC,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Premier League,England
140,Atlético de Rafaela,Diego Vera,29.0,Centre-Forward,Liverpool FC,"End of loanJun 30, 2014",out,Summer,,Superliga,2014,2014/2015,Argentina,Premier League,England
145,Atlético de Rafaela,Andrés Rodales,26.0,Right-Back,Liverpool FC,"End of loanJun 30, 2014",out,Summer,,Superliga,2014,2014/2015,Argentina,Premier League,England
157,Club Atlético Belgrano,Lucas Aveldaño,29.0,Centre-Back,Nueva Chicago,"End of loanJun 30, 2015",in,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
167,Club Atlético Belgrano,Luciano Lollo,27.0,Centre-Back,Racing Club,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
185,CA Boca Juniors,Guillermo Burdisso,25.0,Centre-Back,Galatasaray,"End of loanJun 30, 2014",in,Summer,,Superliga,2014,2014/2015,Argentina,Super Lig,Turkey
186,CA Boca Juniors,Leandro Paredes,20.0,Defensive Midfield,Chievo Verona,"End of loanJun 30, 2014",in,Summer,,Superliga,2014,2014/2015,Argentina,Serie A,Italy
192,CA Boca Juniors,Leandro Paredes,20.0,Defensive Midfield,AS Roma,Loan fee:€250k,out,Summer,0.25,Superliga,2014,2014/2015,Argentina,Serie A,Italy
196,CA Boca Juniors,Cristian Pavón,18.0,Left Winger,CA Colon,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
201,CA Boca Juniors,Sergio Araujo,22.0,Centre-Forward,UD Las Palmas,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
206,CA Boca Juniors,Diego Perotti,25.0,Left Winger,Sevilla FC,"End of loanJun 30, 2014",out,Summer,,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
210,CA Banfield,Nicolás Bertolo,28.0,Left Winger,CD Cruz Azul,?,in,Summer,,Superliga,2014,2014/2015,Argentina,Liga Mx Apertura,Mexico
211,CA Banfield,Agustín Farías,26.0,Defensive Midfield,Nueva Chicago,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
224,CA Banfield,Lihué Prichoda,25.0,Right Midfield,CA Colon,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
227,CA Banfield,Nicolás Bertolo,28.0,Left Winger,CD Cruz Azul,"End of loanJun 30, 2014",out,Summer,,Superliga,2014,2014/2015,Argentina,Liga Mx Apertura,Mexico
256,Club Atlético Lanús,Matías Ibáñez,27.0,Goalkeeper,SD Eibar,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
267,Club Atlético Lanús,Carlos Izquierdoz,25.0,Centre-Back,Santos Laguna,€2.20m,out,Summer,2.2,Superliga,2014,2014/2015,Argentina,Liga Mx Apertura,Mexico
297,CA San Martín (San Juan),Marcos Galarza,30.0,Right-Back,Nueva Chicago,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
312,Club Atlético Temperley,Juan Dinenno,19.0,Centre-Forward,Racing Club,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
329,CD Godoy Cruz Antonio Tomba,Jaime Ayoví,26.0,Centre-Forward,Club Tijuana,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Liga Mx Apertura,Mexico
335,CD Godoy Cruz Antonio Tomba,Gonzalo Cabrera,24.0,Left Winger,Once Caldas,"End of loanJun 30, 2013",in,Summer,,Superliga,2014,2014/2015,Argentina,Liga Dimayor I,Colombia
347,CD Godoy Cruz Antonio Tomba,Leandro Grimi,29.0,Left-Back,Racing Club,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
351,CD Godoy Cruz Antonio Tomba,Cristian García,26.0,Centre-Forward,CD Tenerife,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Primera Division,Spain
354,CD Godoy Cruz Antonio Tomba,Facundo Castillón,28.0,Right Winger,Racing Club,?,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
355,CD Godoy Cruz Antonio Tomba,Nicolás Sánchez,28.0,Centre-Back,Racing Club,?,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
397,Defensa y Justicia,Juan Dobboletta,21.0,Goalkeeper,Racing Club,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
417,Defensa y Justicia,Nelson Acevedo,26.0,Defensive Midfield,Racing Club,?,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
430,Club Estudiantes de La Plata,Diego Vera,29.0,Centre-Forward,Liverpool FC,€550k,in,Summer,0.55,Superliga,2014,2014/2015,Argentina,Premier League,England
447,Club Estudiantes de La Plata,Jonathan Silva,20.0,Left-Back,Sporting CP,€2.50m,out,Summer,2.5,Superliga,2014,2014/2015,Argentina,Liga Nos,Portugal
448,Club Estudiantes de La Plata,José Leudo,20.0,Defensive Midfield,CA Colon,€110k,out,Summer,0.11,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
455,Club Estudiantes de La Plata,Diego Mendoza,21.0,Centre-Forward,Nueva Chicago,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
463,Club Estudiantes de La Plata,Pato Rodríguez,24.0,Left Winger,Santos FC,"End of loanJun 30, 2014",out,Summer,,Superliga,2014,2014/2015,Argentina,Campeonato Brasileiro Serie A,Brazil
477,Club de Gimnasia y Esgrima La Plata,Franco Mussis,22.0,Defensive Midfield,FC Copenhagen,€1.90m,out,Summer,1.9,Superliga,2014,2014/2015,Argentina,Superligaen,Denmark
489,Club de Gimnasia y Esgrima La Plata,Gastón Díaz,26.0,Right-Back,Racing Club,loan transfer,out,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
500,CA Huracán,Iván Moreno y Fabianesi,35.0,Right Midfield,Liverpool FC,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Premier League,England
533,CA Independiente,Germán Montoya,31.0,Goalkeeper,CA Colon,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
551,CA Independiente,Samuel Cáceres,25.0,Centre-Back,Nueva Chicago,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
565,CA Newell's Old Boys,Leandro Fernández,31.0,Centre-Back,Dinamo Moscow,free transfer,in,Summer,0.0,Superliga,2014,2014/2015,Argentina,Premier Liga,Russia
567,CA Newell's Old Boys,Claudio Corvalán,25.0,Left-Back,Racing Club,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
576,CA Newell's Old Boys,Nahuel Guzmán,28.0,Goalkeeper,Tigres UANL,€2.20m,out,Summer,2.2,Superliga,2014,2014/2015,Argentina,Liga Mx Apertura,Mexico
580,CA Newell's Old Boys,Franco Lazzaroni,26.0,Centre-Back,CA Colon,free transfer,out,Summer,0.0,Superliga,2014,2014/2015,Argentina,Superliga,Argentina
594,Club Olimpo,Miguel Borja,21.0,Centre-Forward,AS Livorno,loan transfer,in,Summer,,Superliga,2014,2014/2015,Argentina,Serie A,Italy
