,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
0,Aarhus GF,Kent Nielsen,30.0,Centre-Back,Aston Villa,free transfer,in,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Premier League,England
1,Aarhus GF,Jan Halvor Halvorsen,29.0,Centre-Back,Hertha BSC,?,in,Summer,,Superligaen,1992,1992/1993,Denmark,1 Bundesliga,Germany
2,Aarhus GF,Jean-Paul Vonderburg,27.0,Centre-Back,Malmö FF,?,in,Summer,,Superligaen,1992,1992/1993,Denmark,Allsvenskan,Sweden
6,Aarhus GF,Ken Martin,24.0,Centre-Back,AC Horsens,free transfer,out,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
12,Lyngby BK,Peter Frank,22.0,Centre-Back,BK Frem,?,in,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
20,Lyngby BK,Morten Wieghorst,21.0,Attacking Midfield,Dundee FC,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Scottish Premiership,Scotland
21,Lyngby BK,Torben Frank,24.0,Centre-Forward,Olympique Lyon,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Ligue 1,France
22,Lyngby BK,Emeka Ezeugo,26.0,Central Midfield,BK Frem,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
24,Lyngby BK,Jan Rindom,30.0,Goalkeeper,Ikast FS,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
53,FC Copenhagen,Peter Madsen,29.0,Goalkeeper,Bröndby IF,free transfer,out,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
56,BK Frem,Michael Mio-Nielsen,27.0,Right-Back,LOSC Lille,?,in,Summer,,Superligaen,1992,1992/1993,Denmark,Ligue 1,France
57,BK Frem,Emeka Ezeugo,26.0,Central Midfield,Lyngby BK,?,in,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
60,BK Frem,Peter Frank,22.0,Centre-Back,Lyngby BK,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
72,Silkeborg IF,Kaj Stefansen,24.0,Goalkeeper,Ikast FS,free transfer,out,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
75,Silkeborg IF,Kent Hansen,28.0,Centre-Back,Ikast FS,free transfer,out,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
102,Odense Boldklub,Keld Bordinggaard,29.0,Central Midfield,Silkeborg IF,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
114,Aalborg BK,Thomas Poulsen,19.0,Right Midfield,Viborg FF,free transfer,out,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
117,Bröndby IF,Peter Madsen,29.0,Goalkeeper,FC Copenhagen,free transfer,in,Summer,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
122,Bröndby IF,Kim Christofte,31.0,Left-Back,1. FC Köln,€135k,out,Summer,0.135,Superligaen,1992,1992/1993,Denmark,1 Bundesliga,Germany
125,Bröndby IF,Morten Pedersen,20.0,Left-Back,Tromsø IL,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,Eliteserien,Norway
128,Bröndby IF,Chris Sullivan,27.0,Attack,Hertha BSC,?,out,Summer,,Superligaen,1992,1992/1993,Denmark,1 Bundesliga,Germany
130,Bröndby IF,Andrzej Rudy,26.0,Midfield,1. FC Köln,"End of loanJun 30, 1992",out,Summer,,Superligaen,1992,1992/1993,Denmark,1 Bundesliga,Germany
131,Aarhus GF,Henrik Jörgensen,26.0,Goalkeeper,B1909 Odense,?,in,Winter,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
134,Lyngby BK,Jan Sörensen,24.0,Centre-Back,BK Frem,free transfer,out,Winter,0.0,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
135,Lyngby BK,Henrik Larsen,26.0,Attacking Midfield,Aston Villa,?,out,Winter,,Superligaen,1992,1992/1993,Denmark,Premier League,England
137,FC Copenhagen,Kim Mikkelsen,27.0,Centre-Forward,BK Frem,?,in,Winter,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
138,FC Copenhagen,Carsten Vagn Jensen,29.0,Left Midfield,Naestved IF,?,in,Winter,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
141,FC Copenhagen,Ivan Nielsen,36.0,Centre-Back,Naestved IF,?,out,Winter,,Superligaen,1992,1992/1993,Denmark,Superligaen,Denmark
