club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Örgryte IS,Jeffrey Aubynn,24,Central Midfield,Halmstads BK,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Marcus Dahlin,19,Centre-Back,IK Gauthiod,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Erik Johansson,25,Left Midfield,Malmö FF,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Patrick Sandström,30,Attack,Umeå FC,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Peter Ijeh,24,Centre-Forward,Julius Berger,€150k,in,Summer,0.15,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Niklas Skoog,27,Centre-Forward,Örebro SK,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jon Jönsson,17,Centre-Back,Spurs U18,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Erik Johansson,25,Left Midfield,Örgryte,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Brian Steen Nielsen,32,Left Midfield,Akademisk BK,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Zlatan Ibrahimović,19,Centre-Forward,Ajax,€7.80m,out,Summer,7.8,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Olof Persson,23,Centre-Back,FC Tirol,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Kenneth Gustafsson,18,Centre-Back,Lyn FK,loan transfer,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Gudmundur Vidar Mete,20,Centre-Back,FC Midtjylland,loan transfer,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jeppe Vestergaard,25,Left-Back,Vejle BK,loan transfer,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Babis Stefanidis,20,Right Winger,Iraklis,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Christer Mattiasson,29,Attack,Lillestrøm,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Joel Riddez,21,Left-Back,Assyriska FF,loan transfer,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Landskrona BoIS,Alexander Farnerud,17,Central Midfield,BoIS U19,-,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Chris Pozniak,20,Right-Back,Toronto Lynx,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Niklas Skoog,27,Centre-Forward,Malmö FF,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Mats Rubarth,24,Left Winger,AIK,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Hakan Mild,30,Central Midfield,Wimbledon FC,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Andreas Dahl,17,Central Midfield,Coventry,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Christian Söderberg,16,Left-Back,IFK Kumla,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Erik Wahlstedt,25,Right-Back,Esbjerg fB,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Stig Johansen,29,Centre-Forward,Bodø/Glimt,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Jurica Siljanoski,27,Attack,Cercle Brugge,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Fredrik Stenman,18,Centre-Back,Västerås SK,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Joseph Muweke,16,Centre-Forward,Skövde AIK,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Stefan Andreasson,32,Midfield,Unknown,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Fredrik Berglund,22,Centre-Forward,Roda JC,€2.20m,out,Summer,2.2,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Anders Svensson,24,Defensive Midfield,Southampton,€900k,out,Summer,0.9,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Kjetil Pedersen,28,Centre-Back,LASK,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Ermin Siljak,28,Centre-Forward,Servette FC,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Pablo Pinones-Arce,19,Centre-Forward,AC Venezia 1907,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Tom Kare Staurvik,32,Defensive Midfield,SH Shenhua SVA,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,McKinley Tennyson Jr,22,Attack,Without Club,-,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Per Nilsson,18,Centre-Back,AIK,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Lars Oscarsson,27,Centre-Back,Östersund,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Per Nilsson,18,Centre-Back,GIF Sundsvall,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Mats Rubarth,24,Left Winger,Örebro SK,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Erik Edman,22,Left-Back,Heerenveen,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Sharbel Touma,22,Attacking Midfield,Halmstads BK,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,David Ljung,25,Centre-Back,Molde,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Halmstads BK,Sharbel Touma,22,Attacking Midfield,AIK,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Halmstads BK,Per Johansson,23,Left-Back,GAIS,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Halmstads BK,Besim Shulemaja,20,Centre-Back,Halmstad U19,-,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Halmstads BK,Jeffrey Aubynn,24,Central Midfield,Örgryte,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
Halmstads BK,Michael Svensson,25,Centre-Back,Troyes,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Dawid Banaczek,22,Centre-Forward,FC Bayern II,free transfer,in,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Joe Spiteri,28,Centre-Forward,Lierse SK,?,in,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Klebér Saarenpää,25,Centre-Back,Aalborg BK,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Kyle Lightbourne,32,Centre-Forward,Macclesfield,free transfer,out,Summer,0,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Mathias Florén,24,Left-Back,FC Groningen,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Norrköping,Mattias Östberg,23,Centre-Back,Stoke City,?,out,Summer,NA,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Mike Owusu,25,Right-Back,NEC Nijmegen,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Ronald Turner,20,Centre-Forward,Varbergs GIF,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Örgryte IS,Roger Lindqvist,31,Centre-Back,Retired,-,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Driss El Asmar,26,Goalkeeper,Degerfors,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Freddy Borg,18,Centre-Forward,IFK Trelleborg,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jussi Nuorela,27,Centre-Back,MYPA,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Andreas Yngvesson,27,Centre-Forward,GIF Sundsvall,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Kristian Bergström,27,Left Midfield,Norrköping,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jeppe Vestergaard,25,Left-Back,Silkeborg IF,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Kenneth Gustafsson,19,Centre-Back,Lyn FK,"End of loanDec 1, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Tony Flygare,20,Centre-Forward,IFK Luleå,"End of loanNov 30, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Gudmundur Vidar Mete,20,Centre-Back,FC Midtjylland,"End of loanDec 31, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jimmy Tamandi,21,Right-Back,AIK,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Tony Flygare,20,Centre-Forward,Assyriska FF,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Malmö FF,Jonnie Fedel,35,Goalkeeper,FC Höllviken,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Kim Källström,19,Central Midfield,Häcken,€1.66m,in,Winter,1.66,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,René Makondele,19,Left Winger,AS Vita Club,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Kangana N'Diwa,17,Centre-Back,Unknown,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Mpemba Zunda,18,Centre-Forward,Djurgården U19,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Joel Riddez,21,Left-Back,Assyriska FF,"End of loanNov 30, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Pa Dembo Touray,21,Goalkeeper,Assyriska FF,"End of loanNov 30, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Jones Kusi-Asare,21,Centre-Forward,Grazer AK,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Carlos Banda,24,Midfield,J-Södra IF,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Pa Dembo Touray,21,Goalkeeper,Assyriska FF,loan transfer,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Kangana N'Diwa,17,Centre-Back,Värtans IK,loan transfer,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Jesper Johansson,22,Midfield,Värtans IK,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Joel Riddez,21,Left-Back,Assyriska FF,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Djurgårdens IF,Magnus Samuelsson,30,Right-Back,FC Lahti,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Landskrona BoIS,Anders Friberg,26,Defence,Bryne FK,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Landskrona BoIS,Daniel Nannskog,27,Centre-Forward,Sylvia,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Landskrona BoIS,Rasmus Lindgren,17,Centre-Back,BoIS U19,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Bonaventure Maruti,25,Attack,Mid-Michigan,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Lars Zetterlund,37,Central Midfield,Retired,-,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Örebro SK,Peter Karlsson,28,Left-Back,Retired,-,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Mats Wejsfelt,21,Centre-Back,Helsingborgs IF,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
