club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Austria Vienna,Walter Kogler,24,Centre-Back,SK Sturm Graz,€200k,in,Summer,0.2,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Michael Binder,23,Defence,Kremser SC,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Peter Pospisil,25,Midfield,SV Stockerau,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Günter Kreissl,18,Goalkeeper,FSA Austria Wien U19,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Marcus Pürk,17,Centre-Forward,FSA Austria Wien U19,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Hannes Pleva,25,Attack,VSE St. Pölten,"End of loanJun 30, 1992",in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Peter Letocha,23,Central Midfield,Favoritner AC,free transfer,out,Summer,0,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Walter Hörmann,30,Midfield,SK Sturm Graz,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Hannes Pleva,25,Attack,Wiener Sport-Club,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Harald Schneider,26,Defence,FC Tirol Innsbruck,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Patrick Fasching,20,Defence,Kremser SC,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Manfred Kern,28,Midfield,FC Stahl Linz,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Laszlo Teke,20,Midfield,Wiener Sport-Club,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Andreas Ogris,27,Right Winger,LASK,loan transfer,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Austria Vienna,Manfred Nastl,20,Attack,Favoritner AC,loan transfer,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Roland Goriupp,21,Goalkeeper,Grazer AK,free transfer,in,Summer,0,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Herbert Grassler,19,Defensive Midfield,ATSV Wolfsberg,free transfer,in,Summer,0,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Thomas Hack,19,Attacking Midfield,FC Großklein,free transfer,in,Summer,0,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Michael Tinnacher,19,Midfield,ASK Voitsberg,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Igor Calo,24,Attack,NK Inter Zapresic,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Hermann Kern,25,Sweeper,LUV Graz,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Klaus Spirk,31,Midfield,Wiener Sport-Club,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Gottfried Angerer,31,Goalkeeper,DSV Leoben,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Walter Hörmann,30,Midfield,Austria Vienna,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Rupert Marko,28,Attack,FC Tirol Innsbruck,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Michael Leitner,17,Sweeper,AKA Sturm Graz U19,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Martin Hiden,19,Centre-Back,AKA Sturm Graz U19,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Walter Kogler,24,Centre-Back,Austria Vienna,€200k,out,Summer,0.2,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Andreas Lang,22,Midfield,SV Kapfenberg,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Michael Rexeis,23,Midfield,SC Bruck/Mur,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Dietmar Pegam,24,Midfield,SV Flavia Solva,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Günther Koschak,29,Attack,LUV Graz,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Goran Radojevic,28,Defence,Sportfreunde Siegen,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Sigurd Kristensen,29,Midfield,FC Puch,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Bernd Dallos,25,Midfield,Wiener Sport-Club,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
SK Sturm Graz,Kurt Temm,24,Midfield,FC Admira/Wacker,loan transfer,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Sergey Mandreko,20,Left-Back,Pamir Dushanbe,free transfer,in,Summer,0,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Stanislav Griga,30,Centre-Forward,Feyenoord Rotterdam,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Thomas Griessler,22,Attack,SR Donaufeld,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Franz Blizenec,25,Midfield,VfB Mödling,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Dietmar Kühbauer,21,Central Midfield,FC Admira/Wacker,?,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Patrick Jovanovic,18,Sweeper,SK Rapid Wien II,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Roman Stary,18,Defensive Midfield,BNZ Rapid Wien U19,-,in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Karl Brauneder,32,Midfield,FC Stahl Linz,"End of loanJun 30, 1992",in,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Andreas Herzog,23,Attacking Midfield,SV Werder Bremen,€1.50m,out,Summer,1.5,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Reinhard Kienast,32,Defence,Favoritner AC,free transfer,out,Summer,0,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Christian Salaba,21,Sweeper,SK Vorwärts Steyr,free transfer,out,Summer,0,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Heimo Pfeifenberger,25,Right Winger,SV Casino Salzburg,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Adrián Czornomaz,24,Centre-Forward,CA Banfield,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Daniel Madlener,27,Central Midfield,SK Vorwärts Steyr,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Christian Schmölzer,24,Goalkeeper,Floridsdorfer AC,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
Rapid Vienna,Matthias Bleyer,22,Centre-Forward,Favoritner AC,?,out,Summer,NA,Bundesliga,1992,1992/1993,Austria
