club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Guangdong Winnerway,Craig Allardyce,18,Centre-Back,Northwich Vic,free transfer,out,Summer,0,Chinese Super League,1993,1993/1994,China
Dalian Wanda,Hong Xu,25,Centre-Back,LN Fareast,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Guangzhou Apollo,Bing Zhang,26,Centre-Back,Unknown,free transfer,in,Winter,0,Chinese Super League,1993,1993/1994,China
Guangzhou Apollo,Qunli Wu,33,Left Midfield,South China,free transfer,out,Winter,0,Chinese Super League,1993,1993/1994,China
Shanghai Shenhua,Vladimir Nakhratov,20,Attack,Smena-Saturn,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shanghai Shenhua,Dmitri Kuts,24,Goalkeeper,Smena-Saturn,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shanghai Shenhua,Aleksandr Zakharikov,32,Midfield,Smena-Saturn,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shanghai Shenhua,Dmitriy Kuts,24,Goalkeeper,Smena-Saturn,loan transfer,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Liaoning Fareast,Feng Jiang,23,Right-Back,Yanbian B,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Liaoning Fareast,Hong Xu,25,Centre-Back,DL Wanda,?,out,Winter,NA,Chinese Super League,1993,1993/1994,China
Shandong Jinan Taishan,Ming Li,18,Centre-Back,SD Taishan Res.,-,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shandong Jinan Taishan,Xiaopeng Li,18,Defensive Midfield,SD Taishan U19,-,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Guangdong Winnerway,Craig Allardyce,18,Centre-Back,Macclesfield,free transfer,in,Winter,0,Chinese Super League,1993,1993/1994,China
Beijing Guoan,Chen Yang,19,Centre-Forward,BJ Guoan Res.,-,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Beijing Guoan,Hongbo Gao,27,Centre-Forward,Tiong Bahru FC,?,out,Winter,NA,Chinese Super League,1993,1993/1994,China
August 1st,Bo Zhu,33,Right-Back,SZ Jianlibao,?,out,Winter,NA,Chinese Super League,1993,1993/1994,China
Shenyang Liuyao,Aleksandr Alferov,31,Attack,Selenga Ulan-Ude,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shenyang Liuyao,Evgeni Dolgov,24,Left-Back,Dinamo Moscow,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shenyang Liuyao,Bo Chen,19,Centre-Back,Unknown,?,in,Winter,NA,Chinese Super League,1993,1993/1994,China
Shanghai Shenhua,Si Shen,21,Left Midfield,Unknown,?,in,Summer,NA,Chinese Super League,1994,1994/1995,China
Shanghai Shenhua,Dmitriy Kuts,25,Goalkeeper,Smena-Saturn,"End of loanJul 1, 1994",out,Summer,NA,Chinese Super League,1994,1994/1995,China
Shanghai Shenhua,Dmitri Lipartov,21,Centre-Forward,Slavyanskiy,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Shanghai Shenhua,Gocha Jorjoliani,29,Goalkeeper,Without Club,-,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Shanghai Shenhua,Dmitri Kuts,25,Goalkeeper,Smena-Saturn,?,out,Winter,NA,Chinese Super League,1994,1994/1995,China
Beijing Guoan,Hongbo Gao,28,Centre-Forward,Tiong Bahru FC,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Dalian Wanda,Lin Ma,32,Attack,Liaoning FC,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Dalian Wanda,Hui Chang,22,Centre-Forward,DL Shide Res.,-,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Mingyu Ma,24,Left Midfield,Sichuan FC,€50k,in,Winter,0.05,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Bing Li,25,Centre-Forward,Liaoning FC,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Andy Flounders,31,Attack,Northampton,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Daniel,33,Centre-Back,Torres Novas,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Armando Queirós Manuel,28,Midfield,Negro Rubro,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangdong Winnerway,Andy Flounders,31,Attack,Retired,-,out,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangzhou Apollo,Brad Maloney,23,Midfield,Sydney Olympic,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Guangzhou Apollo,Isamu Tsuji,21,Attack,Frankwell,loan transfer,out,Winter,NA,Chinese Super League,1994,1994/1995,China
Jinan Taishan,Chao Wang,19,Defence,Unknown,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Tianjin FC,Igor Gavrilin,22,Centre-Forward,Ironi Bat Yam,free transfer,in,Winter,0,Chinese Super League,1994,1994/1995,China
Tianjin FC,Sergey Kuznetsov,34,Centre-Back,Tevalte Tallinn,free transfer,in,Winter,0,Chinese Super League,1994,1994/1995,China
Tianjin FC,Dmitry Gulenkov,26,Goalkeeper,Navbahor,?,in,Winter,NA,Chinese Super League,1994,1994/1995,China
Liaoning FC,Bing Li,25,Centre-Forward,GD Winnerway,?,out,Winter,NA,Chinese Super League,1994,1994/1995,China
Liaoning FC,Lin Ma,32,Attack,DL Wanda,?,out,Winter,NA,Chinese Super League,1994,1994/1995,China
Dalian Wanda,Ignacio Tuhuteru,22,Left Winger,Ajax U21,?,in,Summer,NA,Chinese Super League,1995,1995/1996,China
Dalian Wanda,Jihai Sun,17,Centre-Back,Own Youth,-,in,Summer,NA,Chinese Super League,1995,1995/1996,China
Shanghai Shenhua,Clément Garcia,27,Attack,FC Gueugnon,?,in,Summer,NA,Chinese Super League,1995,1995/1996,China
Guangzhou Apollo,Isamu Tsuji,21,Attack,Frankwell,"End of loanJul 1, 1995",in,Summer,NA,Chinese Super League,1995,1995/1996,China
Guangzhou Apollo,Brad Maloney,23,Midfield,Marc. Stallions,?,out,Summer,NA,Chinese Super League,1995,1995/1996,China
Guangzhou Apollo,Isamu Tsuji,21,Attack,Retired,-,out,Summer,NA,Chinese Super League,1995,1995/1996,China
Shenzhen Jianlibao,Slobodan Marovic,30,Left-Back,Silkeborg IF,?,in,Summer,NA,Chinese Super League,1995,1995/1996,China
Dalian Wanda,Per Blohm,28,Midfield,Norrköping,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Dalian Wanda,Lin Ma,33,Attack,Retired,-,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Shanghai Shenhua,Vladislav Baskov,20,Right Midfield,Zenit S-Pb,free transfer,in,Winter,0,Chinese Super League,1995,1995/1996,China
Shanghai Shenhua,Dmitri Trosko,26,Midfield,Neman Grodno,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Shanghai Shenhua,Vladimir Nakhratov,22,Attack,GD Winnerway,?,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Beijing Guoan,Roman Ignatov,22,Defence,Dinamo SPb,free transfer,in,Winter,0,Chinese Super League,1995,1995/1996,China
Guangzhou Apollo,Bing Zhang,28,Centre-Back,MX Hakka,free transfer,out,Winter,0,Chinese Super League,1995,1995/1996,China
Guangzhou Apollo,Chao Mai,31,Left-Back,Retired,-,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Tianjin FC,Andriy Payos,26,Midfield,Avangard R,free transfer,in,Winter,0,Chinese Super League,1995,1995/1996,China
Tianjin FC,Ildar Aliev,23,Midfield,Monolit Moskau,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Tianjin FC,Dmitry Gulenkov,27,Goalkeeper,Tom Tomsk,?,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Tianjin FC,Sergey Kuznetsov,35,Centre-Back,Elimay S.,-,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Guangdong Winnerway,Vladimir Nakhratov,22,Attack,SH Shenhua,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Guangdong Winnerway,Yuxin Xie,27,Attacking Midfield,GZ Matsunichi,?,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Shenzhen Jianlibao,Sergey Markin,29,Defence,Happy Valley,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Shenzhen Jianlibao,Konstantine Melkadze,25,Midfield,FC Shevardeni,?,out,Winter,NA,Chinese Super League,1995,1995/1996,China
Guangzhou Matsunichi FC,Yuxin Xie,27,Attacking Midfield,GD Winnerway,?,in,Winter,NA,Chinese Super League,1995,1995/1996,China
Dalian Wanda,Stefan Lindqvist,30,Central Midfield,IFK Göteborg,?,out,Summer,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Christian Perez,33,Attacking Midfield,Nîmes Olympique,free transfer,in,Summer,0,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,José Bray,31,Midfield,Stade Briochin,?,in,Summer,NA,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Andrés Olivas,29,Centre-Forward,Gimnàstic,free transfer,in,Summer,0,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Casiano Delvalle,25,Centre-Forward,Olimpia,free transfer,in,Summer,0,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Deno Araujo,35,Attack,Freamunde,"End of loanJul 1, 1996",in,Summer,NA,Chinese Super League,1996,1996/1997,China
Vanguard Huandao,Mark Williams,29,Centre-Forward,Wolves,?,in,Summer,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Haidong Hao,26,Centre-Forward,August 1st,€280k,in,Winter,0.28,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Stefan Lindqvist,29,Central Midfield,IFK Göteborg,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Magnus Sköldmark,28,Right-Back,Örebro SK,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Oleg Dulub,31,Midfield,Dinaburg,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Jens Fjellström,30,Left Midfield,Malmö FF,loan transfer,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Hui Chang,24,Centre-Forward,YN Hongta,free transfer,out,Winter,0,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Ignacio Tuhuteru,23,Left Winger,Sembawang,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Per Blohm,29,Midfield,Viking FK,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Dimitar Vasev,31,Centre-Back,Lok. Sofia,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Chengming Li,18,Defence,Unknown,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Valentin Stanchev,28,Attack,Spartak Varna,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Mikhail Trofimov,21,Centre-Back,Smena-Zenit,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Adolfo Fatecha,24,Attack,Olimpia,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Vladislav Baskov,21,Right Midfield,GZ Matsunichi,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Gocha Jorjoliani,31,Goalkeeper,GZ Matsunichi,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Dmitri Trosko,27,Midfield,Neman Grodno,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Aleksandr Zakharikov,35,Midfield,Dinamo SPb,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Shanghai Shenhua,Clément Garcia,28,Attack,Ol. Grenoble,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Beijing Guoan,William Inganga,28,Attack,Cerro Porteño,free transfer,in,Winter,0,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Roman Ignatov,23,Defence,Kotka TP,free transfer,out,Winter,0,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Hongbo Gao,30,Centre-Forward,GZ Matsunichi,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Beijing Guoan,Deno Araujo,36,Attack,Freamunde,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Vanguard Huandao,Jinming Han,27,Midfield,TJ Lifei,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Vanguard Huandao,Feng Jiang,26,Right-Back,Liaoning FC,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangzhou Apollo,Jin Min,18,Midfield,Chengdu T. Res.,free transfer,in,Winter,0,Chinese Super League,1996,1996/1997,China
Guangzhou Apollo,Dominic Iorfa,28,Centre-Forward,Instant-Dict,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
August 1st,Haidong Hao,26,Centre-Forward,DL Wanda,€280k,out,Winter,0.28,Chinese Super League,1996,1996/1997,China
Tianjin Lifei,Igor Gavrilin,24,Centre-Forward,Titan Moskau,free transfer,out,Winter,0,Chinese Super League,1996,1996/1997,China
Tianjin Lifei,Andriy Payos,27,Midfield,Unknown,free transfer,out,Winter,0,Chinese Super League,1996,1996/1997,China
Tianjin Lifei,Jinming Han,27,Midfield,Vanguard Huandao,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Tianjin Lifei,Ildar Aliev,24,Midfield,Uralmash,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Mark Brennan,31,Central Midfield,Oldham Athletic,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Yuxin Xie,28,Attacking Midfield,GZ Matsunichi,?,in,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Mingyu Ma,26,Left Midfield,Sichuan FC,€185k,out,Winter,0.185,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Armando Queirós Manuel,30,Midfield,GD Lam Pak,free transfer,out,Winter,0,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Bing Li,27,Centre-Forward,Sichuan FC,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Vladimir Nakhratov,23,Attack,St. Petersburg,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Guangdong Winnerway,Daniel,35,Centre-Back,Unknown,?,out,Winter,NA,Chinese Super League,1996,1996/1997,China
Dalian Wanda,Niclas Nyhlén,31,Defensive Midfield,Cosenza,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Dalian Wanda,Magnus Sköldmark,28,Right-Back,Dundee United,?,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Dalian Wanda,Oleg Dulub,31,Midfield,Blazma,?,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Haberley Sosa,23,Attack,Cerro Porteño,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Valeriy Kleimenov,31,Goalkeeper,Dinamo Moscow,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Valentin Stanchev,28,Attack,Spartak Varna,free transfer,out,Summer,0,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,José Bray,32,Midfield,Cannes,?,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Dmitri Lipartov,24,Centre-Forward,Sport S-Pb,?,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Christian Perez,34,Attacking Midfield,Retired,-,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Beijing Guoan,Jorge Luis Campos,26,Attacking Midfield,Olimpia,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Stefan Beneking,28,Goalkeeper,SC Freiburg,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Frederick Commodore,21,Attack,Waldh. Mannheim,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Paul Rideout,32,Centre-Forward,Everton,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Andrés Gonzales,29,Centre-Forward,Alianza Lima,?,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Jens Kunath,30,Goalkeeper,Hansa Rostock,loan transfer,in,Summer,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Stefan Beneking,28,Goalkeeper,Kickers Emden,free transfer,out,Summer,0,Chinese Super League,1997,1997/1998,China
Guangzhou Apollo,Dominic Iorfa,28,Centre-Forward,Rangers,?,out,Summer,NA,Chinese Super League,1997,1997/1998,China
Dalian Wanda,Vaclav Nemecek,30,Central Midfield,Sparta Prague,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Dalian Wanda,Hans Eklund,28,Centre-Forward,Östers IF,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Dalian Wanda,Niclas Nyhlén,31,Defensive Midfield,Halmstads BK,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Guido,21,Defensive Midfield,MetroStars,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Chuliang Ou,29,Goalkeeper,GD Winnerway,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Shanghai Shenhua,Haberley Sosa,24,Attack,River Plate,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Beijing Guoan,Raúl Roman,20,Attacking Midfield,Estudiantes,€750k,in,Winter,0.75,Chinese Super League,1997,1997/1998,China
Beijing Guoan,Wei Tao,19,Left Midfield,Shenzhen Youth,-,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Beijing Guoan,Shen Xue,20,Midfield,BJ Guoan Res.,-,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Beijing Guoan,Chen Yang,23,Centre-Forward,Waldh. Mannheim,loan transfer,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Beijing Guoan,William Inganga,28,Attack,Without Club,-,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Zhijun Hu,27,Centre-Forward,GZ Apollo,free transfer,in,Winter,0,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Jacksen F. Tiago,29,Centre-Forward,Persebaya,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Leonardo Jara,25,Defence,Nacional,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Vladislav Baskov,22,Right Midfield,Gazovik-Gazprom,free transfer,out,Winter,0,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Gocha Jorjoliani,32,Goalkeeper,Chkalovets,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Guangzhou Matsunichi FC,Hongbo Gao,31,Centre-Forward,Retired,-,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Qingdao Etsong Hainiu,Yi Zhuang,24,Attack,Liaoning FC,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Weiguo Peng,27,Attacking Midfield,GZ Apollo,€295k,in,Winter,0.295,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Akhrik Tsveiba,31,Sweeper,Spartak V-kavkaz,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Oleg Eremin,30,Centre-Forward,SH Pudong,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Frederick Commodore,22,Attack,VfR Mannheim,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Paul Rideout,33,Centre-Forward,Wizards,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Vanguard Huandao,Andrés Gonzales,29,Centre-Forward,Dep. Pesquero,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Shenyang Haishi,Paulinho,24,Second Striker,Felgueiras,free transfer,in,Winter,0,Chinese Super League,1997,1997/1998,China
Shenyang Haishi,Yuxin Xie,29,Attacking Midfield,GD Winnerway,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Shenzhen Jianlibao,Bertin Tomou,19,Centre-Forward,Pohang Steelers,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Shenzhen Jianlibao,Yi Li,18,Centre-Forward,TJ Teda,?,in,Winter,NA,Chinese Super League,1997,1997/1998,China
Shenzhen Jianlibao,Ju-po Oh,24,Midfield,Chunnam Dragons,?,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Shenzhen Jianlibao,Bo Zhu,37,Right-Back,Retired,-,out,Winter,NA,Chinese Super League,1997,1997/1998,China
Guangzhou Apollo,Weiguo Peng,27,Attacking Midfield,Vanguard Huandao,€295k,out,Winter,0.295,Chinese Super League,1997,1997/1998,China
Guangzhou Apollo,Zhijun Hu,27,Centre-Forward,GZ Matsunichi,free transfer,out,Winter,0,Chinese Super League,1997,1997/1998,China
Liaoning FC,Christophe Galtier,31,Centre-Back,Calcio Monza,free transfer,in,Summer,0,Chinese Super League,1998,1998/1999,China
Liaoning FC,Fabrice Grange,26,Goalkeeper,FC Nantes,?,in,Summer,NA,Chinese Super League,1998,1998/1999,China
Liaoning FC,Jinyu Li,20,Centre-Forward,AS Nancy,loan transfer,out,Summer,NA,Chinese Super League,1998,1998/1999,China
Vanguard Huandao,Jerry Larteza,24,Attacking Midfield,Seattle Sounders,free transfer,in,Summer,0,Chinese Super League,1998,1998/1999,China
Vanguard Huandao,Oleg Eremin,30,Centre-Forward,Lokomotiv NN,?,out,Summer,NA,Chinese Super League,1998,1998/1999,China
