club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Hamarkameratene,Tom Henning Hovi,20,Left-Back,Skeid Oslo,free transfer,in,Summer,0,Eliteserien,1992,1992/1993,Norway
Tromsø IL,Morten Pedersen,20,Left-Back,Bröndby IF,?,in,Summer,NA,Eliteserien,1992,1992/1993,Norway
Tromsø IL,Jerzy Kowalik,30,Midfield,Hutnik Krakow,?,out,Summer,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Trevor Morley,32,Centre-Forward,West Ham United,loan transfer,in,Summer,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Trevor Morley,31,Centre-Forward,West Ham United,"End of loanSep 1, 1992",out,Summer,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Erik Hoftun,23,Centre-Back,KIL/Hemne Fotball,?,in,Summer,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Paul Moulden,24,Centre-Forward,Oldham Athletic,"End of loanJun 30, 1992",out,Summer,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Kenneth Nysaether,22,Centre-Forward,Fortuna Sittard,?,out,Summer,NA,Eliteserien,1992,1992/1993,Norway
IK Start,Frank Strandli,20,Centre-Forward,Leeds United,loan transfer,in,Summer,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Stale Stensaas,20,Left-Back,Rosenborg BK Youth,-,in,Summer,NA,Eliteserien,1992,1992/1993,Norway
Fyllingen Fotball,Henrik Jörgensen,27,Centre-Forward,Lyngby BK,?,out,Summer,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Kjell Kaasa,26,Right Winger,Kongsvinger IL,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Anders Michelsen,22,Right-Back,Dröbak-Frogn IK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Thomas Michelsen,22,Midfield,Dröbak-Frogn IK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Kent Bergersen,25,Midfield,Rosenborg BK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Ólafur Thórdarson,27,Defence,ÍA Akranes,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Bard Bjerkeland,31,Defence,Lillestrøm SK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lyn 1896 FK,Tom Sundby,32,Attacking Midfield,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Ole Einar Martinsen,25,Centre-Back,Kongsvinger IL,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Tor Gunnar Johnsen,21,Attack,Unknown,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Ronny Stöbakk,19,Midfield,Unknown,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Kent Bergersen,25,Midfield,Lyn 1896 FK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Kare Ingebrigtsen,27,Defensive Midfield,Manchester City,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Rhonny Westad,20,Goalkeeper,FK Bodø/Glimt,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Stig Inge Björnebye,23,Left-Back,Liverpool FC,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Roar Strand,22,Central Midfield,Molde FK,loan transfer,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Rosenborg BK,Öivind Husby,32,Right-Back,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Kaj Stefansen,24,Goalkeeper,Ikast FS,free transfer,in,Winter,0,Eliteserien,1992,1992/1993,Norway
Viking FK,Björn Johansen,23,Central Midfield,Tromsø IL,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Egil Ulfstein,21,Left-Back,IL Hödd,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Geir Hasund,21,Attacking Midfield,IL Hödd,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Mike McCabe,28,Attack,Unknown,free transfer,out,Winter,0,Eliteserien,1992,1992/1993,Norway
Viking FK,Leif Rune Salte,26,Defence,Bryne FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Asle Andersen,20,Midfield,Bryne FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Roger Nilsen,23,Centre-Back,1. FC Köln,loan transfer,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Viking FK,Egil Fjetland,30,Attack,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
IK Start,Frank Fosseli Tönnesen,19,Defence,IK Start Youth,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
IK Start,Tommy Svindal Larsen,19,Defensive Midfield,Odd Grenland,"End of loanDec 31, 1992",in,Winter,NA,Eliteserien,1992,1992/1993,Norway
IK Start,Frank Strandli,20,Centre-Forward,Leeds United,€350k,out,Winter,0.35,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Thomas Berntsen,22,Right-Back,Strømmen IF,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Bard Bjerkeland,31,Defence,Lyn 1896 FK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Patrick Karlsson,25,Attack,IFK Luleå,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Jon Knudsen,18,Goalkeeper,Lillestrøm SK Youth,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Henning Berg,23,Right-Back,Blackburn Rovers,€550k,out,Winter,0.55,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Geir Frigard,22,Centre-Forward,Kongsvinger IL,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Kjetil Osvold,31,Central Midfield,Skeid Oslo,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Thomas Frigard,20,Midfield,Eidsvold Turn Fotball,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Lillestrøm SK,Arne Erlandsen,33,Defensive Midfield,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Geir Frigard,22,Centre-Forward,Lillestrøm SK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Björn Arild Levernes,20,Central Midfield,Strømmen IF,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Geir Bakke,23,Defence,Strømmen IF,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Christer Basma,20,Centre-Back,Kongsvinger IL U19,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Ole Einar Martinsen,25,Centre-Back,Rosenborg BK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Kjell Kaasa,26,Right Winger,Lyn 1896 FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Kongsvinger IL,Rolf Furuly,29,Midfield,Hamarkameratene,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
FK Bodø/Glimt,Andreas Evjen,23,Left-Back,FK Mjölner,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
FK Bodø/Glimt,Rhonny Westad,20,Goalkeeper,Rosenborg BK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
FK Bodø/Glimt,Bent Inge Johnsen,20,Central Midfield,Mosjöen IL,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,André Nevstad,20,Midfield,IL Hödd,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Roar Strand,22,Central Midfield,Rosenborg BK,loan transfer,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Daniel Berg Hestad,17,Defensive Midfield,Molde FK Youth,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Are Lervik,20,Goalkeeper,Clausenengen FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Molde FK,Arthur Albiston,35,Left-Back,Chester City (- 2010),"End of loanDec 1, 1992",out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Tore Pedersen,23,Centre-Back,IFK Göteborg,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Kaj Eskelinen,23,Centre-Forward,IFK Göteborg,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Magnus Johansson,28,Midfield,Västra Frölunda IF,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Trond Nordeide,28,Midfield,Strømsgodset IF,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Roger Helland,19,Defensive Midfield,SK Brann II,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Gunnar Norebö,16,Central Midfield,Brann Bergen Youth,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Martin Hollund,18,Goalkeeper,Brann Bergen Youth,-,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Per-Egil Ahlsen,34,Defensive Midfield,Fredrikstad FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Joachim Björklund,21,Centre-Back,IFK Göteborg,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Per Hilmar Nybö,26,Attack,Unknown,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Per Andreas Haftorsen,22,Goalkeeper,Unknown,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Göran Holter,29,Attack,Linköpings FF,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Rune André Vindheim,20,Defence,Sogndal IL,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Anders Giske,33,Centre-Back,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
SK Brann,Marek Filipczak,32,Attack,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Tromsø IL,Björn Johansen,23,Central Midfield,Viking FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Tromsø IL,Tore Nilsen,32,Centre-Back,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,Jon Eirik Ödegaard,20,Left-Back,Rosenborg BK II,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,Rolf Furuly,29,Midfield,Kongsvinger IL,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,André Ulla,19,Goalkeeper,Aalesunds FK,?,in,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,Jan Kruse,24,Defence,Averøykameratene IL,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,Erling Ness Ytterland,26,Midfield,Aalesunds FK,?,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Hamarkameratene,Terje Kojedal,35,Centre-Back,Retired,-,out,Winter,NA,Eliteserien,1992,1992/1993,Norway
Vålerenga Fotball,Kenneth Nysaether,23,Centre-Forward,Fortuna Sittard,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Rosenborg BK,Kare Ingebrigtsen,27,Defensive Midfield,Manchester City,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Rosenborg BK,Göran Sörloth,30,Centre-Forward,Bursaspor,?,out,Summer,NA,Eliteserien,1993,1993/1994,Norway
Viking FK,Bjarte Lunde Aarsheim,18,Right Midfield,Hundvåg IL,free transfer,in,Summer,0,Eliteserien,1993,1993/1994,Norway
Viking FK,Thomas Myhre,19,Goalkeeper,Viking FK Youth,-,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Viking FK,Roger Nilsen,23,Centre-Back,1. FC Köln,"End of loanJun 30, 1993",in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Viking FK,Kaj Stefansen,25,Goalkeeper,Herning Fremad,free transfer,out,Summer,0,Eliteserien,1993,1993/1994,Norway
IK Start,Frank Strandli,21,Centre-Forward,Leeds United,"End of loanJul 31, 1993",out,Summer,NA,Eliteserien,1993,1993/1994,Norway
Lillestrøm SK,Tore Krogstad,26,Goalkeeper,Strømmen IF,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Lillestrøm SK,Lars Bohinen,23,Central Midfield,BSC Young Boys,loan transfer,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Lillestrøm SK,Lars Bohinen,24,Central Midfield,BSC Young Boys,"End of loanOct 1, 1993",out,Summer,NA,Eliteserien,1993,1993/1994,Norway
SK Brann,Tore Pedersen,24,Centre-Back,Oldham Athletic,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
SK Brann,Roy Wassberg,22,Centre-Back,Fyllingen Fotball,?,out,Summer,NA,Eliteserien,1993,1993/1994,Norway
SK Brann,Trevor Morley,32,Centre-Forward,West Ham United,"End of loanSep 1, 1993",out,Summer,NA,Eliteserien,1993,1993/1994,Norway
Tromsø IL,Gary Ford,32,Right Winger,Mansfield Town,free transfer,in,Summer,0,Eliteserien,1993,1993/1994,Norway
Sogndal IL,Terje Skjeldestad,15,Goalkeeper,Kaupanger IL,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Sogndal IL,Rúnar Páll Sigmundsson,19,Midfield,Fram Reykjavík,?,in,Summer,NA,Eliteserien,1993,1993/1994,Norway
Sogndal IL,Jostein Flo,28,Centre-Forward,Sheffield United,?,out,Summer,NA,Eliteserien,1993,1993/1994,Norway
Vålerenga Fotball,Morten Kihle,26,Defence,FK Ørn Horten,?,in,Winter,NA,Eliteserien,1993,1993/1994,Norway
Vålerenga Fotball,Jan Kruse,25,Defence,Averøykameratene IL,?,in,Winter,NA,Eliteserien,1993,1993/1994,Norway
Vålerenga Fotball,Tore Krogstad,26,Goalkeeper,Lillestrøm SK,?,in,Winter,NA,Eliteserien,1993,1993/1994,Norway
