club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
RSC Anderlecht,Philippe Albert,24,Centre-Back,KV Mechelen,free transfer,in,Summer,0,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Marc Emmers,26,Right Midfield,KV Mechelen,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Peter van Vossen,24,Left Winger,KSK Beveren,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Guy Marchoul,26,Right-Back,Lierse SK,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Philip Osondu,20,Midfield,RWD Molenbeek,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Yaw Preko,17,Centre-Forward,Anderlecht U19,-,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Luis Oliveira,23,Centre-Forward,Cagliari Calcio,€3.00m,out,Summer,3,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Gert Verheyen,21,Right Winger,Club Brugge,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
RSC Anderlecht,Benjamin Debusschere,23,Left-Back,RFC Seraing,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Adriano Cruz,17,Defensive Midfield,Unknown,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Raphaël Quaranta,34,Midfield,Royal Antwerp,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Patrick Vervoort,27,Left Midfield,Ascoli,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Jacky Munaron,35,Goalkeeper,RC Liège,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Benoît Thans,27,Attacking Midfield,Royal Antwerp,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Aleksandr Rychkov,17,Attacking Midfield,Loko Moscow,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Philippe Léonard,18,Left-Back,Standard U19,-,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Miklos Molnar,22,Centre-Forward,Servette FC,"End of loanJun 30, 1992",in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Rubenilson,19,Attacking Midfield,RWD Molenbeek,free transfer,out,Summer,0,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Steve Snow,21,Centre-Forward,Boom FC,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Dirk Rosez,31,Goalkeeper,RWD Molenbeek,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Ljubomir Radanovic,31,Centre-Back,AC Bellinzona,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Bernard Beuken,21,Centre-Back,Club Brugge,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Étienne Delangre,29,Defence,RWD Molenbeek,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Stalin Rivas,20,Attacking Midfield,Boom FC,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Miklos Molnar,22,Centre-Forward,Saint-Étienne,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Danny Muller,22,Attacking Midfield,Boom FC,loan transfer,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Didier Ernst,20,Right-Back,Boom FC,loan transfer,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
Standard Liège,Dioniso Carlos Silva Filho,20,Midfield,Retired,-,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Glen De Boeck,20,Centre-Back,Boom FC,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Dénes Eszenyi,24,Centre-Forward,Újpest,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Ivan De Wilde,26,Goalkeeper,KV Kortrijk,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Bart Mauroo,24,Defence,KSV Waregem,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Stan Van den Buijs,35,Defensive Midfield,RWD Molenbeek,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Ulli Hulsmans,19,Defence,Unknown,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Alain Peetermans,24,Defence,Sint-Truiden,?,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Steve Van Der Borght,18,Midfield,KV Mechelen U21,-,in,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Philippe Albert,24,Centre-Back,RSC Anderlecht,free transfer,out,Summer,0,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Marc Emmers,26,Right Midfield,RSC Anderlecht,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Francis Severeyns,24,Centre-Forward,Royal Antwerp,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Lei Clijsters,35,Centre-Back,RC Liège,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Adrie Bogers,27,Left-Back,Willem II,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
KV Mechelen,Kurt Moons,19,Midfield,Germinal Ekeren,?,out,Summer,NA,Juliper Pro League,1992,1992/1993,Belgium
