club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Ilhwa Chunma FC,Mikhail Solovjev,23,Centre-Back,Torpedo Moskau,?,in,Summer,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Dong-hae Kim,26,Attacking Midfield,Sangmu FC,?,in,Summer,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Arsenio Luzardo,32,Midfield,Recreativo Huelva,?,in,Summer,NA,K League 1,1992,1992/1993,South Korea
Ulsan Hyundai,Byeong-ji Kim,22,Goalkeeper,Sangmu FC,free transfer,in,Summer,0,K League 1,1992,1992/1993,South Korea
POSCO Atoms,Rade Bogdanovic,22,Centre-Forward,FK Zeljeznicar Sarajevo,?,in,Summer,NA,K League 1,1992,1992/1993,South Korea
POSCO Atoms,Sang-hae Cha,26,Attack,Daewoo Royals,?,in,Summer,NA,K League 1,1992,1992/1993,South Korea
Daewoo Royals,Sang-hae Cha,26,Attack,POSCO Atoms,?,out,Summer,NA,K League 1,1992,1992/1993,South Korea
Ilhwa Chunma FC,Gi-bum Lee,22,Midfield,Kyungil University,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
Ilhwa Chunma FC,Jong-chan Park,21,Midfield,University of Seoul,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
Ilhwa Chunma FC,Nam-yul Park,22,Left Winger,Daegu University,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
Ilhwa Chunma FC,Mikhail Solovjev,24,Centre-Back,Torpedo Moskau,?,out,Winter,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Jung-won Seo,23,Right Winger,Korea University,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Jung-hwa Kwon,24,Attack,Yukong Elephants,?,in,Winter,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Jong-kuk Im,24,Goalkeeper,Sangmu FC,loan transfer,out,Winter,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Sang-kwang Cha,29,Goalkeeper,POSCO Atoms,draft,out,Winter,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Min-kook Cho,29,Centre-Back,Chuo Bohan FC Fujieda Flux,?,out,Winter,NA,K League 1,1992,1992/1993,South Korea
LG Cheetahs,Hyeon-gi Ham,29,Midfield,Oita Trinity,?,out,Winter,NA,K League 1,1992,1992/1993,South Korea
Ulsan Hyundai,Hyun-seok Kim,25,Attacking Midfield,Sangmu FC,loan transfer,out,Winter,NA,K League 1,1992,1992/1993,South Korea
Ulsan Hyundai,Frank Lieberam,30,Sweeper,VfL Wolfsburg,?,out,Winter,NA,K League 1,1992,1992/1993,South Korea
Ulsan Hyundai,Kang-hee Choi,33,Defence,Retired,-,out,Winter,NA,K League 1,1992,1992/1993,South Korea
Ulsan Hyundai,Keung-yeon Cho,31,Centre-Forward,Retired,-,out,Winter,NA,K League 1,1992,1992/1993,South Korea
POSCO Atoms,Ki-nam Kim,21,Defensive Midfield,Chung-Ang University,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
POSCO Atoms,Won-gil Kang,24,Defence,Sangmu FC,free transfer,in,Winter,0,K League 1,1992,1992/1993,South Korea
POSCO Atoms,Sang-kwang Cha,29,Goalkeeper,LG Cheetahs,draft,in,Winter,NA,K League 1,1992,1992/1993,South Korea
