club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Toros Neza FC,Rodrigo Ruiz,24,Second Striker,Puebla FC,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Federico Lussenhoff,22,Centre-Back,Rosario Central,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Carlos Germán Arangio,20,Centre-Forward,Racing Club,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Pedro Pablo Osorio,30,Defence,Morelia,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Juan Ramírez,27,Centre-Back,Atlante,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Silvio Rudman,27,Centre-Forward,Padova,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Rafael Astivia,21,Defence,América,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Toros Neza FC,Martín Vilallonga,25,Attack,Racing Club,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,José Luis Malibrán,28,Midfield,Tiburones Rojos,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Martín Ubaldi,26,Midfield,Tigres UANL,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Jorge Campos,30,Goalkeeper,Los Angeles,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Orlando Pinelo,25,Attack,Unknown,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Juan Hernández,31,Defence,América,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Manuel Sol,22,Central Midfield,Necaxa,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Zaguinho,29,Centre-Forward,América,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Miodrag Belodedici,32,Sweeper,Villarreal,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Ignacio Ambriz,31,Centre-Back,Necaxa,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Juan Ramírez,27,Centre-Back,Toros Neza,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Tiba,25,Midfield,Atlético Celaya,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Gaby Miranda,27,Attacking Midfield,CS Emelec,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Wilson Graniolatti,33,Defence,D. Concepción,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Carlos Dias,17,Attacking Midfield,Irapuato,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Jorge Campos,30,Goalkeeper,Los Angeles,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Francisco Cruz,30,Defensive Midfield,Tigres UANL,?,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
CF Atlante,Manuel Negrete,37,Attacking Midfield,Retired,-,out,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Puebla FC,Uwe Wolf,28,Centre-Back,Necaxa,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Puebla FC,Daniel Guzmán,30,Centre-Forward,Chivas,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Puebla FC,Sergio Almaguer,27,Centre-Back,Tigres UANL,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
Puebla FC,Marquinho,29,Attacking Midfield,Casino Salzburg,?,in,Summer,NA,Liga Mx Apertura,1996,1996/1997,Mexico
