club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
FC Porto,Zé da Rocha,24,Central Midfield,Gil Vicente FC,free transfer,in,Summer,0,Liga Nos,1992,1992/1993,Portugal
FC Porto,Rui Jorge,19,Left-Back,Rio Ave FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Paulinho Santos,21,Defensive Midfield,Rio Ave FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Antônio Carlos,28,Central Midfield,CF América,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Paulinho McLaren,22,Centre-Forward,Santos FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Luís Miguel,19,Left Winger,Gil Vicente FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Jorge Costa,20,Centre-Back,CS Marítimo,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Jorge Silva,20,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Bino,19,Central Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,António Folha,21,Left Winger,SC Braga,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Paulo Pereira,26,Right-Back,Vitória Guimarães SC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Kiki,30,Attacking Midfield,SC Braga,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Jorge Andrade,29,Second Striker,CS Marítimo,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Carlos Padrão,32,Goalkeeper,FC Paços de Ferreira,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Zé da Rocha,24,Central Midfield,Académica Coimbra,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Petar Mihtarski,25,Centre-Forward,FC Famalicão,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
FC Porto,Luís Miguel,19,Left Winger,CF União Lamas,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,João Pinto,20,Second Striker,Boavista FC,€2.50m,in,Summer,2.5,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Sergey Yuran,23,Centre-Forward,Dynamo Kyiv,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Mário Jorge,22,Central Midfield,GD Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Luis Mariano,23,Central Midfield,GD Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Carlos Mozer,31,Centre-Back,Olympique Marseille,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Hélder Cristóvão,21,Centre-Back,GD Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Fernando Mendes,25,Left-Back,Boavista FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Pedro Roma,21,Goalkeeper,Académica Coimbra,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Kenedy,18,Left-Back,SL Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Jose Quitongo,17,Right Winger,SL Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,José Dominguez,18,Left Winger,SL Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Abel Silva,22,Right-Back,CS Marítimo,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Paulo Santos,19,Goalkeeper,UR Mirense,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Erwin Sánchez,22,Attacking Midfield,GD Estoril Praia,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Samuel,25,Centre-Back,Boavista FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,João Pires,21,Attack,GD Estoril Praia,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Pedro Valido,22,Centre-Back,CS Marítimo,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Mats Magnusson,28,Centre-Forward,Helsingborgs IF,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Erwin Sánchez,22,Attacking Midfield,Boavista FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Rui Bento,20,Defensive Midfield,Boavista FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Hugo Costa,18,Centre-Back,Gil Vicente FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Jonas Thern,25,Central Midfield,SSC Napoli,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Paulo Santos,19,Goalkeeper,CD Olivais e Moscavide,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,José Dominguez,18,Left Winger,SU Sintrense,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
SL Benfica,Manuel Bento,44,Goalkeeper,Retired,-,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Carlos Jorge,25,Centre-Back,CS Marítimo,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Andrzej Juskowiak,21,Centre-Forward,Lech Poznan,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Stan Valckx,28,Centre-Back,PSV Eindhoven,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Luís Manuel,21,Defensive Midfield,AD Ovarense,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Pedro Barny,25,Centre-Back,Boavista FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Bilro,21,Right-Back,SC Olhanense,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Capucho,20,Right Winger,Gil Vicente FC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Porfírio,18,Centre-Forward,Sporting CP U19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Poejo,18,Defensive Midfield,Sporting CP U19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Paulo Pilar,20,Central Midfield,Académico Viseu FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Lopes,20,Right Winger,Amora FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Lopes,20,Right Winger,Portimonense SC,free transfer,out,Summer,0,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Venâncio,28,Centre-Back,Boavista FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Tozé,23,Centre-Forward,Boavista FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Jorginho,30,Centre-Back,FC Famalicão,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,João Luís,30,Right-Back,Sociedade Esportiva Palmeiras,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Paulo Santos,26,Goalkeeper,AD Sanjoanense,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Douglas,29,Central Midfield,Cruzeiro Esporte Clube,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,José Lima,25,Left Winger,Vitória Guimarães SC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,João Oliveira Pinto,20,Right Winger,Vitória Guimarães SC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Litos,25,Attacking Midfield,Boavista FC,?,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Careca,23,Attacking Midfield,FC Famalicão,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Sporting CP,Paulo Pilar,20,Central Midfield,Louletano DC,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Jaime Alves,27,Right-Back,Vitória Guimarães SC,free transfer,in,Summer,0,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Erwin Sánchez,22,Attacking Midfield,SL Benfica,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Mateus,26,Attacking Midfield,Clube Ferroviário de Maputo,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Tozé,23,Centre-Forward,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Zoran Lemajic,31,Goalkeeper,SC Farense,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,António Caetano,25,Left-Back,Vitória Guimarães SC,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Venâncio,28,Centre-Back,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Artur Oliveira,22,Second Striker,Clube do Remo (PA),?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Litos,25,Attacking Midfield,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Jojó,21,Central Midfield,Clube Ferroviário de Maputo,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Rui Bento,20,Defensive Midfield,SL Benfica,?,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Costinha,18,Goalkeeper,Boavista FC Y19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Bambo,17,Centre-Forward,Boavista FC Y19,-,in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Castro,23,Goalkeeper,União de Leiria,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993,Portugal
Boavista FC,João Pinto,20,Second Striker,SL Benfica,€2.50m,out,Summer,2.5,Liga Nos,1992,1992/1993,Portugal
Boavista FC,Litos,18,Centre-Back,SC Campomaiorense (-2013),free transfer,out,Summer,0,Liga Nos,1992,1992/1993,Portugal
