club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
AC Le Havre,Didier Angibeaud,17,Centre-Forward,Unknown,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Jean-Roch Testa,27,Attack,FC Gueugnon,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Gia Guruli,28,Centre-Forward,GKS Katowice,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Michel Rio,29,Attacking Midfield,SM Caen,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Christophe Revault,20,Goalkeeper,AC Le Havre B,-,in,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Vaclav Danek,31,Centre-Forward,FC Tirol Innsbruck,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Graham Rix,34,Left Midfield,Dundee FC,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Patrice Garande,31,Centre-Forward,FC Sochaux-Montbéliard,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
AC Le Havre,Hubert Castets,20,Centre-Back,AC Le Havre B,-,out,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Laurent Dufresne,20,Centre-Forward,RUFC Calais,free transfer,in,Summer,0,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Jorge Burruchaga,29,Attacking Midfield,FC Nantes,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Arnold Oosterveer,29,Centre-Back,Stade Rennais FC,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Kálmán Kovács,26,Centre-Forward,Kispest–Honvéd FC,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Philippe Gaillot,27,Left-Back,FC Metz,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Yves Bouger,22,Left-Back,FC Lorient,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Christophe Robert,28,Left Winger,AS Monaco,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Thierry Fernier,27,Attacking Midfield,FC Girondins Bordeaux,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Dominique Corroyer,27,Centre-Forward,AS Saint-Étienne,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Sylvain Matrisciano,28,Goalkeeper,AS Nancy-Lorraine,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Thierry Cygan,17,Centre-Back,FC Valenciennes U19,-,in,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Jean-Jacques Allais,23,Attack,USL Dunkerque,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Gérard Buscher,32,Centre-Forward,OGC Nice,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Alain Garraud,30,Centre-Back,FC Istres Ville Nouvelle ,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
US Valenciennes-Anzin Arrondissement,Eugène Ekéké,32,Centre-Forward,US Maubeuge,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Gabriel Calderón,32,Attacking Midfield,FC Sion,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Faouzi Rouissi,21,Centre-Forward,Club Africain Tunis,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Stéphane Dedebant,21,Central Midfield,Racing 92,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Christophe Duboscq,25,Midfield,US Avranches,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Clément Garcia,24,Attack,Montpellier HSC,loan transfer,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Stéphane Lièvre,19,Left-Back,SM Caen U19,-,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Wally Dieng,18,Defence,SM Caen B,-,in,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Didier Thimothée,22,Centre-Forward,AS Red Star 93,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Olivier Pickeu,22,Centre-Forward,Montpellier HSC,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Franck Dumas,24,Centre-Back,AS Monaco,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Michel Rio,29,Attacking Midfield,AC Le Havre,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Fabien Debotté,28,Defensive Midfield,FC Nantes,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Rubens,20,Attack,Unknown,?,out,Summer,NA,Ligue 1,1992,1992/1993,France
SM Caen,Jesper Olsen,31,Left Midfield,Retired,-,out,Summer,NA,Ligue 1,1992,1992/1993,France
Nîmes Olympique,Stéphan Lerda,21,Centre-Back,Olympique avignonnais,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
Nîmes Olympique,Camille Derramond,18,Midfield,Unknown,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
Nîmes Olympique,Christophe Buffat,22,Attack,OGC Nice B,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
Nîmes Olympique,Franck Lucchesi,28,Left-Back,Montpellier HSC,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
Nîmes Olympique,Didier Monczuk,31,Centre-Forward,RC Strasbourg Alsace,?,in,Summer,NA,Ligue 1,1992,1992/1993,France
