club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
New York/New Jersey MetroStars,Manny Lagos,24,Left Midfield,Minnesota Thunder,free transfer,in,Summer,0,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Chris Unger,28,Attack,Princeton Tigers (Princeton University),draft,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Rob Johnson,23,Attack,Unknown,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Travis Rinker,27,Defence,Long Island Rough Riders,loan transfer,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Ken Hesse,24,Defence,Unknown,free transfer,out,Summer,0,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Edmundo Rodríguez,26,Attacking Midfield,Unknown,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Mickey Kydes,31,Midfield,Without Club,-,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Peter Woodring,27,Centre-Forward,SV Wehen,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Kevin Wylie,27,Defence,Cape Cod Crusaders,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,John Kerr,31,Attack,Dallas Burn,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Victor Mella,21,Attack,San Jose Clash,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Giuseppe Galderisi,33,Second Striker,Tampa Bay Mutiny,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Zak Ibsen,24,Defence,Dallas Burn,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Robert Ukrop,26,Attack,Richmond Kickers,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New England Revolution,Bojan Vuckovic,25,Attack,New Hampshire Phantoms,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Tampa Bay Mutiny,Giuseppe Galderisi,33,Second Striker,New England Revolution,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Tampa Bay Mutiny,Boniface Okafor,30,Attack,Unknown,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Columbus Crew SC,Brian McBride,23,Centre-Forward,VfL Wolfsburg,free transfer,in,Summer,0,Major League Soccer,1995,1995/1996,United States of America
Columbus Crew SC,Paul Caligiuri,32,Defensive Midfield,FC Hansa Rostock,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Columbus Crew SC,Pat Harrington,31,Goalkeeper,Kansas City Wiz,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Columbus Crew SC,Ricardo Iribarren,28,Defence,Club Atlético Belgrano,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Columbus Crew SC,Paul Young,28,Attack,Rochester Raging Rhinos,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
D.C. United,Jeff Agoos,27,Left-Back,SV Wehen,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
D.C. United,Johnny Maessner,26,Attack,1.FC Saarbrücken,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
D.C. United,Tony Sanneh,24,Right-Back,Minnesota Thunder,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
D.C. United,David Vaudreuil,29,Midfield,Hampton Roads Mariners,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
D.C. United,George Gelnovatch,31,Defence,Without Club,-,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
San Jose Clash,Misael Espinosa,31,Midfield,Deportivo Guadalajara,loan transfer,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
San Jose Clash,Henry Gutierrez,27,Attack,Rochester Raging Rhinos,free transfer,out,Summer,0,Major League Soccer,1995,1995/1996,United States of America
San Jose Clash,Victor Mella,21,Attack,New England Revolution,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Colorado Rapids,Shaun Bartlett,22,Centre-Forward,Cape Town Spurs,free transfer,in,Summer,0,Major League Soccer,1995,1995/1996,United States of America
Kansas City Wiz,Mo Johnston,33,Centre-Forward,Falkirk FC,free transfer,in,Summer,0,Major League Soccer,1995,1995/1996,United States of America
Kansas City Wiz,Yari Allnutt,26,Midfield,Carolina Dynamo,loan transfer,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Kansas City Wiz,Pat Harrington,31,Goalkeeper,Columbus Crew SC,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Dallas Burn,Jason Kreis,22,Right Winger,Raleigh Flyers,draft,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Dallas Burn,Zak Ibsen,24,Defence,New England Revolution,?,in,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
Dallas Burn,John Kerr,31,Attack,New England Revolution,?,out,Summer,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Cristian da Silva,24,Defence,North Jersey Imperials,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Mickey Kydes,31,Midfield,New York Centaurs,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Ted Gillen,27,Defence,Richmond Kickers,free transfer,in,Winter,0,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Tony Meola,26,Goalkeeper,Long Island Rough Riders,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Ken Hesse,24,Defence,Colorado Foxes,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Giovanni Savarese,25,Centre-Forward,Long Island Rough Riders,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Jeff Zaun,24,Defence,North Jersey Imperials,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Matt Knowles,25,Defence,Milwaukee Wave,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Jorge Acosta,31,Attack,Unknown,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Peter Vermes,29,Centre-Back,UE Figueres,draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Danny Barber,24,Midfield,UNLV Rebels (University of Nevada/Las Vegas),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
New York/New Jersey MetroStars,Miles Joseph,21,Midfield,Clemson Tigers (Clemson University),draft,in,Winter,NA,Major League Soccer,1995,1995/1996,United States of America
