club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Spartak Moscow,Mikhail Rusyaev,27,Centre-Forward,VfB Oldenburg,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Igor Ledyakhov,24,Central Midfield,Rotor Volgograd,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Nikolay Pisarev,23,Centre-Forward,FC Winterthur,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Andrey Tikhonov,21,Attacking Midfield,Titan Moskau,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Gennadiy Perepadenko,28,Right Winger,Hapoel Tzafririm Holon,"End of loanJun 30, 1992",in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Lokomotiv Moscow,"End of loanDec 31, 1992",in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Vladimir Baksheev,22,Midfield,Tobol Kostanay,"End of loanSep 5, 1992",in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Gennadiy Perepadenko,28,Right Winger,CD Badajoz 1905,free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Oleg Kuzhlev,25,Right Midfield,Etoile Sportive du Sahel,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Aleksandr Shibaev,30,Defence,Dinamo-Gazovik Tyumen,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Kakhaber Tskhadadze,23,Centre-Back,Dinamo Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Evgeni Bushmanov,20,Centre-Back,CSKA Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Velli Kasumov,23,Centre-Forward,Dinamo Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Rashid Rakhimov,27,Left Midfield,Real Valladolid Deportivo,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Lokomotiv Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Vladimir Baksheev,22,Midfield,Tobol Kostanay,loan transfer,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Spartak Moscow,Aleksandr Bondar,25,Defensive Midfield,Terek Grozny,"End of loanMay 1, 1993",out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Yuri Konovalov,22,Centre-Forward,Zenit Chelyabinsk,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Vladimir Niederhaus,24,Centre-Forward,Kairat Almaty,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Aleksandr Eshchenko,22,Left-Back,Dynamo Kyiv,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Sergey Zhunenko,22,Centre-Back,Zorya-Mals Lugansk,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Aleksey Perminov,24,Left-Back,Uralmash Ekaterinburg,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Igor Ledyakhov,24,Central Midfield,Spartak Moscow,free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Sergey Neyman,24,Defence,Avangard Kolomna,free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Sergey Sukhov,26,Centre-Forward,Avangard Kolomna,free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Andrey Fedorovskiy,28,Centre-Back,KPT-85,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Rotor Volgograd,Sergey Vinogradov,20,Centre-Back,Rotor Volgograd II,-,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Sergey Timofeev,27,Left-Back,Nyva Ternopil,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Velli Kasumov,23,Centre-Forward,Spartak Moscow,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Kakhaber Tskhadadze,23,Centre-Back,Spartak Moscow,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Platon Krivoshchekov,23,Centre-Forward,Chkalovets-FoKuMiS Novosibirsk,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Viktor Leonenko,22,Centre-Forward,Dynamo Kyiv,€1.00m,out,Summer,1,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Andrey Kobelev,23,Central Midfield,Real Betis Balompié,€600k,out,Summer,0.6,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Sergey Kiryakov,22,Centre-Forward,Karlsruher SC,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Oleg Yelyshev,21,Right Midfield,Tekstilshchik Kamyshin,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Aleksey Yushkov,25,Centre-Back,Uralmash Ekaterinburg,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Viktor Losev,33,Right-Back,Career break,-,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Maksim Layushkin,20,Centre-Back,Dinamo-D Moscow (liq.),-,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Dinamo Moscow,Igor Varlamov,20,Left-Back,Dynamo Moscow II,-,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Sergey Polstyanov,26,Centre-Forward,Evis Mykolaiv,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Vladimir Oskolkov,29,Defence,Tiligul Tiraspol,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Aleksandr Bogatyrev,29,Attack,Kairat Almaty,free transfer,in,Summer,0,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Oleg Yelyshev,21,Right Midfield,Dinamo Moscow,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Andriy Yudin,25,Right-Back,Dnipro Dnipropetrovsk (-2020),?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Gennadiy Soshenko,34,Defence,FV Progres Frankfurt (- 1998),?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Evgeni Chinenov,17,Goalkeeper,Rotor 2 Volgograd ( -2022),free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Vyacheslav Kuznetsov,30,Midfield,Avangard Kamyshin (-1997),free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Gennadi Strikalov,22,Goalkeeper,Asmaral Kislovodsk,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Oleg Perepelitsyn,22,Right-Back,Energia Kamyshin,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Tekstilshchik Kamyshin,Vitali Yudin,18,Left Midfield,Vympel Rybinsk,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Yuri Petrov,18,Centre-Forward,Spartak Moscow,?,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Aleksandr Sinitsyn,21,Centre-Forward,Lokomotiv-D Moscow,-,in,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Mikhail Maryushkin,25,Centre-Forward,Pirin Gotse Delchev,free transfer,out,Summer,0,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Gennadi Semin,24,Left Winger,Fakel Voronezh,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Khasanbi Bidzhiev,26,Goalkeeper,Hapoel Tel Aviv,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Aleksandr Rychkov,17,Attacking Midfield,Standard Liège,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Igor Povalyaev,29,Defence,Dinamo Stavropol,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Vasili Postnov,30,Defensive Midfield,Wydad Casablanca,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Aleksandr Kuzmichev,21,Attacking Midfield,CD Feirense,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Oleg Tabunov,22,Left-Back,Rovaniemen Palloseura,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Andrey Semin,20,Midfield,Avangard Kolomna,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
Lokomotiv Moscow,Boris Nikitin,24,Attack,Smena-Saturn St. Petersburg,?,out,Summer,NA,Premier Liga,1992,1992/1993,Russia
