club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Al-Hilal Saudi FC,Mohammad Al-Nakhli,23,Right-Back,Unknown,?,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Abdullah Al-Zoari,19,Centre-Back,Al-Nahdah FC,?,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Bruno Agnello,21,Attacking Midfield,Jabaquara Atlético Clube (SP),?,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Abdulaziz Al-Dawsari,18,Left Midfield,Al-Hilal SFC U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Faisal Al-Jamaan,21,Centre-Forward,Al-Hilal SFC U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Hassan Khairat,19,Centre-Back,Al-Hilal SFC U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Ahmed Al-Fraidi,19,Attacking Midfield,Al-Hilal SFC U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Ibrahima Ba,22,Defensive Midfield,FC Thun,€200k,out,Summer,0.2,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Hassan Al-Otaibi,29,Goalkeeper,Al-Qadsiah FC,?,out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Faisal Al-Jamaan,22,Centre-Forward,Al-Fateh,loan transfer,out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Khaled Shrahili,21,Goalkeeper,Al-Raed,loan transfer,out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Sami Al-Jaber,34,Centre-Forward,Retired,-,out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Ahmed Khaleel,36,Defence,Retired,-,out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Hilal Saudi FC,Rodrigão,29,Centre-Forward,Atlético Paranaense,"End of loanJun 30, 2007",out,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Abdulrahman Al-Qahtani,24,Left Midfield,Ettifaq FC,free transfer,in,Summer,0,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Magno Alves,31,Centre-Forward,Gamba Osaka,free transfer,in,Summer,0,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Talal Al-Meshal,29,Centre-Forward,Al-Markhiya SC,?,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Robert,26,Centre-Forward,Real Betis Balompié,?,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Renan Teixeira,22,Defensive Midfield,São Paulo Futebol Clube,loan transfer,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Mohammed Salem,21,Centre-Back,Al-Ittihad Dschidda U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Mohamad Labib,20,Centre-Forward,Al-Ittihad Dschidda U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Obaid Al-Shamrani,21,Right-Back,Al-Ittihad Dschidda U23,-,in,Summer,NA,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Abdullah Al-Waked,31,Central Midfield,Al-Nassr FC,free transfer,out,Summer,0,Saudi Professional League,2007,2007/2008,Saudi Arabia
Al-Ittihad Club (Jeddah),Reinaldo,28,Centre-Forward,JEF United Chiba,free transfer,out,Summer,0,Saudi Professional League,2007,2007/2008,Saudi Arabia
