club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Rangers FC,Michael Mols,28,Centre-Forward,FC Utrecht,€6.40m,in,Summer,6.4,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Claudio Reyna,25,Central Midfield,VfL Wolfsburg,€3.00m,in,Summer,3,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Craig Moore,23,Centre-Back,Crystal Palace,€1.20m,in,Summer,1.2,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Dariusz Adamczuk,29,Defensive Midfield,Dundee FC,free transfer,in,Summer,0,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Billy Gibson,18,Right-Back,Rangers FC U20,-,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Stephen Carson,18,Right Winger,Rangers FC U20,-,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Marco Negri,28,Centre-Forward,Vicenza Calcio,"End of loanJun 30, 1999",in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Stéphane Guivarc'h,28,Centre-Forward,AJ Auxerre,€3.85m,out,Summer,3.85,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Charlie Miller,23,Attacking Midfield,Watford FC,free transfer,out,Summer,0,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Daniel Prodan,27,Centre-Back,Steaua Bucharest,?,out,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Theo Snelders,35,Goalkeeper,MVV Maastricht,?,out,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Luigi Riccio,21,Central Midfield,KSK Beveren (- 2010),loan transfer,out,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Jonas Thern,32,Central Midfield,Retired,-,out,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Rangers FC,Sebastián Rozental,22,Centre-Forward,CD Universidad Católica,loan transfer,out,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Eyal Berkovic,27,Attacking Midfield,West Ham United,€8.80m,in,Summer,8.8,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Rafael Scheidt,23,Centre-Back,Grêmio Foot-Ball Porto Alegrense,€7.20m,in,Summer,7.2,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Stiliyan Petrov,19,Central Midfield,CSKA Sofia,€3.40m,in,Summer,3.4,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Olivier Tébily,23,Centre-Back,Sheffield United,€1.88m,in,Summer,1.88,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Ian Wright,35,Centre-Forward,West Ham United,free transfer,in,Summer,0,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Stephane Bonnes,21,Attack,FC Mulhouse Sud-Alsace,free transfer,in,Summer,0,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Dmitriy Kharin,30,Goalkeeper,Chelsea FC,free transfer,in,Summer,0,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Simon Lynch,17,Centre-Forward,West Park United FC,?,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Bobby Petta,24,Left Midfield,Ipswich Town,?,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Dave Moore,17,Right Winger,Cork City FC U20 (- 2009),?,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
Celtic FC,Mark Fotheringham,15,Central Midfield,Celtic Glasgow U17,-,in,Summer,NA,Scottish Premiership,1999,1999/2000,Scotland
