club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
BSC Young Boys,Paul Agostino,17,Centre-Forward,Yverdon Sport FC,free transfer,in,Summer,0,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Piotr Nowak,27,Attacking Midfield,Bakirköyspor,free transfer,in,Summer,0,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Peter Kobel,23,Goalkeeper,FC Solothurn,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Heinz Moser,24,Centre-Back,FC Luzern,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Marcel Meier,19,Midfield,FC Wettingen,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Andres Gerber,19,Right Midfield,BSC Young Boys U21,-,in,Summer,NA,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Patrick Rahmen,23,Attack,FC Basel 1893,?,out,Summer,NA,Super League,1992,1992/1993,Switzerland
BSC Young Boys,Michel Rubli,19,Attack,FC Schaffhausen,?,out,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Oliver Neuville,19,Centre-Forward,FC Locarno,free transfer,in,Summer,0,Super League,1992,1992/1993,Switzerland
Servette FC,Sébastien Barberis,20,Right Midfield,FC Lausanne-Sport,free transfer,in,Summer,0,Super League,1992,1992/1993,Switzerland
Servette FC,Sonny Anderson,21,Centre-Forward,Guarani Futebol Clube (SP),?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Christophe Ohrel,24,Right Midfield,FC Lausanne-Sport,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,André Egli,34,Centre-Back,Neuchâtel Xamax,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Renato Carioca,25,Midfield,Fluminense Football Club,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,James Derivaz,18,Centre-Forward,FC Martigny-Sports,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Xavier Dietlin,23,Attack,FC Sion,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Franck Tarare,19,Midfield,Meyrin FC,?,in,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Heinz Hermann,34,Central Midfield,Grasshopper Club Zurich,?,out,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Maurizio Jacobacci,29,Attack,FC St. Gallen 1879,?,out,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Stéphane Guex,25,Midfield,FC Stade Nyonnais,?,out,Summer,NA,Super League,1992,1992/1993,Switzerland
Servette FC,Igor Dobrovolskiy,24,Attacking Midfield,Genoa 1893,"End of loanJun 30, 1992",out,Summer,NA,Super League,1992,1992/1993,Switzerland
