club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Besiktas JK,Mitar Mrkela,26,Left Winger,Twente Enschede FC,€364k,in,Summer,0.364,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Fani Madida,25,Centre-Forward,Kaizer Chiefs,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Yilmaz Beyaz,20,Defence,Tekirdagspor,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Yusuf Tokac,18,Central Midfield,Iskenderunspor (- 2007),?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Ali Güncar,22,Centre-Back,Genclerbirligi Ankara,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Serdar Bayer,24,Right-Back,Caykur Rizespor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Serdar Bayer,24,Right-Back,Bandirmaspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Adam Zejer,28,Left Midfield,Gaziantepspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Yilmaz Beyaz,21,Defence,Istanbulspor,loan transfer,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Besiktas JK,Cemre Özbalkan,21,Midfield,Istanbulspor,loan transfer,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Stanimir Stoilov,25,Centre-Forward,Levski Sofia,€500k,in,Summer,0.5,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Faruk Korkmaz,22,Centre-Forward,Aydinspor,free transfer,in,Summer,0,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Mustafa Yücedag,26,Attacking Midfield,Galatasaray,free transfer,in,Summer,0,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Altay Dagdelen,22,Goalkeeper,Altay SK,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Ilker Yagcioglu,26,Right-Back,Aydinspor,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Selahattin Gözoglu,20,Centre-Back,Galatasaray,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Miroslav Tanjga,27,Centre-Back,Red Star Belgrade,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Can Okuyucu,24,Goalkeeper,Göztepe,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Dzoni Novak,22,Left Midfield,FK Partizan Belgrade,?,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Gerson,25,Central Midfield,AS Bari,loan transfer,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Burhan Saatcioglu,19,Sweeper,Fenerbahce SK U21,-,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Sevki Murat Arslanoglu,19,Midfield,Fenerbahce SK U21,-,in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Ergin Parlar,28,Centre-Back,Eyüpspor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Levent Kurt,25,Centre-Forward,Kayserispor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Hasan Özdemir,28,Centre-Back,Adana Demirspor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Senol Corlu,30,Left Winger,Antalyaspor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Gökhan Gedikali,26,Centre-Back,Samsunspor,"End of loanJun 30, 1992",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Ahmet Suphi Evke,28,Right-Back,Bursaspor,"End of loanMay 31, 1993",in,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Neshet Muharrem,37,Goalkeeper,Sakaryaspor,free transfer,out,Summer,0,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Levent Kurt,25,Centre-Forward,Zonguldakspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Ergin Parlar,28,Centre-Back,Istanbulspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Murat Yigiter,21,Goalkeeper,Söke Spor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Hasan Özdemir,28,Centre-Back,Sakaryaspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Fadil Vokrri,32,Centre-Forward,FC Bourges,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Piotr Soczynski,25,Centre-Back,Olimpia Poznan,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Ercan Kologlu,23,Sweeper,Samsunspor,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Miroslav Tanjga,28,Centre-Back,Hertha BSC,?,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Nejdet Zengin,25,Defence,Without Club,-,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Senol Corlu,30,Left Winger,Retired,-,out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Fenerbahce,Gerson,25,Central Midfield,AS Bari,"End of loanJun 30, 1992",out,Summer,NA,Super Lig,1992,1992/1993,Turkey
Galatasaray,Elvir Bolic,20,Centre-Forward,Red Star Belgrade,€250k,in,Summer,0.25,Super Lig,1992,1992/1993,Turkey
