club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Club Atlético Aldosivi,César Carranza,33,Centre-Forward,Club Ferro Carril Oeste,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Gonzalo Bozzoni,24,Left-Back,Club Atlético Atlanta,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Matías Lequi,33,Centre-Back,Sportivo Luqueño,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Alejandro Capurro,33,Central Midfield,Club de Gimnasia y Esgrima La Plata,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Darío Gandín,30,Centre-Forward,CA Colon,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Gastón Díaz,33,Right-Back,Club Atlético Tigre,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Ismael Quílez,25,Right-Back,Racing Club,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Franco Canever,24,Left-Back,Club Atlético Tucumán,free transfer,in,Summer,0,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Matías Vega,28,Goalkeeper,Club Atlético Atlanta,?,in,Summer,NA,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Milton Müller,24,Left Midfield,Sportivo Rivadavia (Venado Tuerto),?,in,Summer,NA,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Diego Ftacla,22,Centre-Forward,Club Atlético Belgrano,?,in,Summer,NA,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Pablo Lugüercio,32,Right Winger,Club Olimpo,?,in,Summer,NA,Superliga,2014,2014/2015,Argentina
Club Atlético Aldosivi,Nicolás Ayr,31,Centre-Back,Without Club,-,in,Summer,NA,Superliga,2014,2014/2015,Argentina
