club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Aarhus GF,Kent Nielsen,30,Centre-Back,Aston Villa,free transfer,in,Summer,0,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Jan Halvor Halvorsen,29,Centre-Back,Hertha BSC,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Dan Sörensen,25,Centre-Back,Randers Freja (RFC II),?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Jean-Paul Vonderburg,27,Centre-Back,Malmö FF,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Nocko Jokovic,18,Centre-Forward,Aarhus GF/Viby IF U19,-,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Martin Nielsen,18,Centre-Back,Aarhus GF/Viby IF U19,-,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Mads Iversen,21,Centre-Forward,Randers Freja (RFC II),free transfer,out,Summer,0,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Jimmy Mörup,26,Midfield,Unknown,free transfer,out,Summer,0,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Ken Martin,24,Centre-Back,AC Horsens,free transfer,out,Summer,0,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Erik Madsen,24,Attack,Unknown,?,out,Summer,NA,Superligaen,1992,1992/1993,Denmark
Aarhus GF,Uffe Jakobsen,25,Midfield,Retired,-,out,Summer,NA,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Niclas Jensen,17,Left-Back,Boldklubben af 1893 U19,free transfer,in,Summer,0,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Peter Frank,22,Centre-Back,BK Frem,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Henrik Jörgensen,27,Centre-Forward,Fyllingen Fotball,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Jan Olsen,21,Midfield,Vanlöse IF,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Claus Fallentin,22,Goalkeeper,Greve Fodbold,?,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
Lyngby BK,Thomas Rytter,18,Right-Back,Lyngby BK U19,-,in,Summer,NA,Superligaen,1992,1992/1993,Denmark
